,discount,learning rate,mf weight,mb weight,repetition,subject
95,0.21667282,0.21637912,5.2275243,4.5329638,0.50985855,23
96,0.5564901,0.8204983,1.2507678,4.3320045,0.12034402,0
97,0.73510057,0.41320956,5.2686033,4.3831835,0.79063344,1
98,0.09978276,0.34987155,1.6091135,3.1814756,0.19027707,2
99,0.14547454,0.81718236,3.9423647,2.737555,0.27498898,3
100,0.0833792,0.6951357,2.3856037,1.436086,0.19567892,4
101,0.6527987,0.563035,2.694305,0.6281763,0.031079262,5
102,0.5751737,0.37700698,1.3696599,2.1616535,0.23723203,6
103,0.572479,0.740701,0.5393192,2.5091174,0.30130142,7
104,0.23987672,0.15284216,1.0426662,3.793614,0.7929873,8
105,0.5595665,0.6520429,2.8086343,0.5624018,0.4136911,9
106,0.5898716,0.30342284,4.459424,1.048548,0.54223853,10
107,0.57495016,0.5254159,3.8681574,2.535292,0.4033898,11
108,0.30842465,0.36229718,1.7972724,3.4648833,0.17070857,12
109,0.6732209,0.7760027,2.3849866,3.83646,0.45423752,13
110,0.21283491,0.84561867,3.9139204,4.6484356,0.19506715,14
111,0.32773057,0.15183526,1.6591747,0.5459476,0.6037792,15
112,0.22473207,0.6921239,2.3632712,1.4945611,0.19646482,16
113,0.7272368,0.60145223,4.3847136,5.37164,0.71512353,17
114,0.7759829,0.18260652,1.2124143,1.598753,0.45986667,18
115,0.63621527,0.7163954,1.5220704,0.6739342,0.09645155,19
116,0.3825962,0.7348508,2.1582668,0.9643258,0.12951873,20
117,0.7250614,0.33371103,2.7563908,4.4054112,0.7653186,21
118,0.69679767,0.21045908,3.4843433,4.16424,0.19395946,22
119,0.870145,0.15613326,3.638205,5.470843,0.12967022,23
120,0.39044008,0.7976589,2.546645,3.255141,0.12178809,0
121,0.73325235,0.21878174,2.0238986,4.209384,0.7651982,1
122,0.053803455,0.27260333,2.9785924,1.4726207,0.10688417,2
123,0.2912722,0.60934067,0.9586806,3.0920305,0.16426046,3
124,0.46437466,0.46513814,0.6974598,1.5850371,0.17547156,4
125,0.29518664,0.67630124,3.334352,1.2332218,0.51722765,5
126,0.64522177,0.7803098,3.9784536,2.3997164,0.061947066,6
127,0.20281534,0.55813926,1.686588,1.3232534,0.3388426,7
128,0.2642318,0.24418952,2.1523414,3.8370323,0.7283934,8
129,0.8199129,0.61310375,0.9110198,0.7694216,0.25279313,9
130,0.77779394,0.30072305,3.3186116,1.224851,0.1161422,10
131,0.7445086,0.6387637,3.9214625,4.441597,0.7252037,11
132,0.40969002,0.4880138,1.9775453,4.431084,0.34783953,12
133,0.67554224,0.7542995,2.9066987,2.0859206,0.3877527,13
134,0.11309757,0.7911525,4.5682244,2.952731,0.17741466,14
135,0.5227914,0.38749602,3.2338676,2.052552,0.3849685,15
