,locs0,locs1,locs2,locs3,locs4,subject
0,-1.333706,0.7873767,-1.2659056,0.35879505,-1.2279421,0
1,1.3293087,-0.95274866,-0.33942485,1.3676655,0.22478557,1
2,-2.1200233,-0.36773697,-0.07965779,-0.20477068,-1.7284985,2
3,-0.4179113,0.7111167,-2.9437852,0.31225225,-1.4024291,3
4,-0.85331017,1.4286528,-1.7359817,0.7434487,-2.4050372,4
5,0.6002263,1.7822101,1.993335,0.35347772,-2.081037,5
6,0.18464938,0.32355446,0.07179523,0.1798392,-1.2042105,6
7,-0.9944511,1.7230037,-1.055637,-0.18931678,-2.1984103,7
8,-1.995722,-1.6171997,-1.6734138,0.5420511,2.3610394,8
9,0.58090395,1.0879363,0.17746828,-1.0864372,-3.4118814,9
10,1.9079716,-0.81743115,-0.36417434,-0.30869162,-0.34804106,10
11,1.5632628,-0.44352806,-1.2907028,-0.343669,-1.0989451,11
12,-1.3323014,-0.49885052,0.15572602,-0.2675559,-1.8959218,12
13,1.3229371,0.5924396,-0.0406152,-2.2928169,-1.8524938,13
14,-0.27216047,1.0009186,-1.8162227,0.50471437,-1.8304327,14
15,0.0067082345,-0.18593967,1.4358292,-1.0163662,-1.4943542,15
16,-0.9494843,1.6938455,-0.99578744,-0.6918039,-2.5190954,16
17,-0.18711734,-0.23595062,0.39910787,2.0333126,0.4528106,17
18,1.5116285,-0.47482,0.9621599,1.0490228,-1.0767186,18
19,-2.2286735,-0.17665225,-2.4361994,-1.7948556,-3.303624,19
20,-0.49386114,1.8177178,0.72612107,-1.5029664,-2.5337806,20
21,0.7201098,-0.4222695,0.088546544,-0.49730146,1.2507908,21
22,-0.7290907,-2.0233705,2.2340484,1.002722,1.572881,22
23,-0.03335002,-2.1753476,-0.6002277,0.24178535,-0.08869743,23
24,-1.5522772,1.4900151,-0.78233284,-0.07914674,-2.6498036,0
25,1.8566297,-0.97863126,0.45501706,-0.33507702,-4.220253,1
26,-1.2882963,-0.74450827,-2.2318988,0.39188814,-1.9164486,2
27,-1.456831,0.7722298,-2.347202,-0.18308447,-2.0999022,3
28,-2.8980665,0.8790528,0.09670842,-0.38354874,-2.0678213,4
29,0.8548251,1.5549186,1.6131938,-1.045419,-2.8252597,5
30,0.095575064,-0.22239023,-0.981472,-0.6608156,-2.5792315,6
31,-0.8641089,0.26262814,-1.5746841,-1.3713759,-2.0805254,7
32,-1.6291178,-1.0766423,0.62508047,0.9633176,-1.4550897,8
33,1.4442799,1.2939352,-0.5350647,-0.20085573,-1.1605006,9
34,1.4979647,-1.1921492,-0.44675025,-2.077853,-0.4417031,10
35,2.7072535,-0.3244174,-1.5221341,0.69969773,-3.0940099,11
36,-1.2052969,-0.63386345,-0.8057816,0.27802512,-2.1099906,12
37,2.0085528,0.9686093,0.24630773,-1.2978777,-3.7516713,13
38,-1.1369275,0.5192012,-0.8494383,-0.2651115,-2.5533047,14
39,-1.1980884,-0.7977845,-0.050887644,-1.2744833,0.13050169,15
40,-1.2468587,2.1740289,-0.8066805,-0.4983805,-1.6969084,16
41,-0.91699696,0.05946339,1.6807481,-1.823885,0.5473673,17
42,0.13529873,-0.7681575,0.6600154,-0.6619118,-1.1599185,18
43,-0.79853076,0.3413906,-2.420077,-1.9093497,-3.3247094,19
44,1.3527565,1.152711,-1.3369577,-1.606902,-2.0208285,20
45,0.66027284,-0.52652884,0.72128296,0.17639506,-1.6567624,21
46,-2.0818326,-1.7280746,0.5666591,1.8870468,-0.11512327,22
47,1.5584807,-2.2817347,1.6589307,-1.9420475,-2.0337715,23
48,-0.8955121,0.29535103,-2.4796958,0.61365294,-2.7946072,0
49,0.022228599,-1.2272937,-0.09150195,-0.78142035,-0.16012394,1
50,-0.6038673,-0.3730764,-2.1049757,-0.22237836,-2.0297,2
51,-2.0377111,-0.40401238,-1.4958552,-0.88286483,-1.2890649,3
52,-1.3700732,0.5843815,-2.1937895,0.73129064,-1.6292481,4
53,0.9244287,0.79811674,-0.08445132,-0.8845497,-0.5187148,5
54,-0.6622291,-0.4329164,-0.342714,-1.5036244,-1.768905,6
55,-1.2947638,0.015357614,-2.2337651,-0.5290964,-1.5352609,7
56,-1.523086,-1.5431328,-2.080337,2.0929973,1.3827674,8
57,2.6340704,2.3394625,0.89456,0.37163603,-2.0400271,9
58,1.9706151,-0.72919333,-0.13343844,-0.666294,-0.086805105,10
59,0.84192246,0.08391142,1.034126,-0.57586634,-0.6487386,11
60,-1.2862606,-1.0856704,-1.3676689,-0.33376712,-2.254842,12
61,1.7256643,0.8956442,0.8069766,-2.4463112,-1.8300562,13
62,-2.1219568,0.5423313,-1.0706093,-0.294274,-0.6705277,14
63,-0.6352901,-0.451768,0.46334723,-0.8497169,-0.54820526,15
64,-0.049143076,0.7962763,-1.6675079,-0.9957268,-1.9423501,16
65,0.61606896,-0.17021868,0.623629,0.84637225,-0.4738111,17
66,1.5578306,-0.5892459,0.8505916,-0.7357265,-0.27006215,18
67,-1.7097063,-0.6744924,-1.7633972,-1.8383632,-2.044273,19
68,-0.56949496,1.8881605,0.37869516,-1.3202835,-2.2199938,20
69,1.3135296,-0.5789575,-0.7994569,1.3196492,0.79929054,21
70,0.580507,-2.6983638,-0.4876078,2.1693382,-1.8251839,22
71,0.77952576,-1.9351373,-0.23215881,-0.95929515,-0.9603285,23
72,-1.319937,2.20113,-0.145185,1.2421598,-1.8577008,0
73,0.69366616,-1.0635008,-0.12526637,-0.8135954,-0.11904156,1
