,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
0,0.24476914,0,0.60300183,1.0999238,0.9425247
1,0.3081335,1,0.6385602,0.78666186,0.623437
2,0.3987478,2,0.7233475,1.3569409,1.1524471
3,0.31101787,3,0.65718514,0.72360116,0.5677002
4,0.31809583,4,0.65701646,0.9408055,0.9059104
5,0.15931469,5,0.17027856,0.9465621,0.8757981
6,0.32643297,6,0.70708835,1.0338699,0.6952524
7,0.3526026,7,0.6630255,0.8897347,0.68617433
8,0.30662143,8,0.72225595,0.6143439,0.52617526
9,0.25971028,9,0.4845934,0.9811497,0.8047437
10,0.3427752,10,0.7072163,0.8217313,0.75226736
11,0.23068354,11,0.72958004,0.633551,0.5293961
12,0.3647133,12,0.6184049,0.83769244,0.5737654
13,0.29132172,13,0.700557,0.94903904,0.92944276
14,0.3870734,14,0.16244337,0.5662202,0.435888
15,0.3595257,15,0.6652366,0.6960732,0.53583777
16,0.24358115,16,0.69483286,0.97726077,0.6489098
17,0.3088783,17,0.69328684,0.71586585,0.53203696
18,0.2433183,18,0.7011089,1.219481,1.6125181
19,0.26494095,19,0.6585343,0.91282684,0.68663526
20,0.34320918,20,0.6857226,1.0262707,0.90740883
21,0.3258713,21,0.40980545,1.1331089,1.7792057
22,0.26080596,22,0.62594396,1.0609584,0.81338567
23,0.32013595,23,0.6207833,0.6047454,0.47383544
