,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
0,0.33288777,0,0.71085906,0.7663052,0.5459973
1,0.24569772,1,0.69041735,0.7917433,0.62524486
2,0.28286427,2,0.57001853,0.7750257,0.5671734
3,0.26282817,3,0.75201017,0.8458245,0.76132053
4,0.20607994,4,0.69725174,0.8749817,0.7909866
5,0.2598761,5,0.72010016,1.0742087,0.8669442
6,0.2940742,6,0.6260805,1.1369343,1.1162412
7,0.44016162,7,0.7066063,1.4077382,0.93639046
8,0.34633648,8,0.46366256,1.0100739,0.6809426
9,0.22945645,9,0.3513547,0.8097526,0.6950332
10,0.46249983,10,0.33182117,0.62497854,0.4586208
11,0.24270812,11,0.70869666,0.96021724,0.7481894
12,0.28751746,12,0.67964536,0.6782162,0.5420738
13,0.22813131,13,0.7672767,0.7617262,0.63290673
14,0.3582548,14,0.54095155,1.1627353,0.8447695
15,0.18426187,15,0.22148989,0.8814929,0.6586179
16,0.31912434,16,0.5895637,1.4382092,1.477313
17,0.33921447,17,0.7187881,0.9310942,0.69320595
18,0.3141264,18,0.7440388,1.1335673,0.8240963
19,0.2954973,19,0.70027477,0.7694967,0.5992266
20,0.5284211,20,0.7624258,0.95816225,0.57536304
21,0.25213793,21,0.6957949,0.88938886,0.70514673
22,0.28375396,22,0.49753195,1.1277109,0.6567559
23,0.32495433,23,0.7942316,0.92406213,1.0204828
