,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp
0,0.6930026,0.7083894,0,0.3841053,0.44627756,5.3903112,6.8474355
1,0.45253262,0.40127832,1,0.6839331,0.514022,2.5356822,2.4711113
2,0.4409366,0.56148565,2,0.8651611,0.8804474,7.3977585,6.494369
3,0.84074295,0.92769045,3,0.23639446,0.2720133,1.3819076,1.4452013
4,0.5518066,0.5900362,4,0.608058,0.7342987,4.0093637,4.565369
5,0.10572635,0.5154062,5,0.034552835,0.020209134,3.6458476,4.4945292
6,0.76743597,0.65327454,6,0.6328333,0.6105197,3.3378608,3.8269248
7,0.4170153,0.6218647,7,0.7010568,0.76415765,4.1041894,3.8210251
8,0.095971175,0.049917698,8,0.7588863,0.97155344,1.9802073,1.7222037
9,0.085934006,0.06352353,9,0.15733416,0.16007465,3.8918853,3.6656027
10,0.54203516,0.8817346,10,0.8930247,0.87853694,4.590142,3.9180346
11,0.886178,0.813632,11,0.7398542,0.80695254,1.6266416,1.2780921
12,0.15264118,0.109767675,12,0.68210566,0.56834626,1.9594204,2.152734
13,0.5142399,0.37120384,13,0.800146,0.96707714,4.469456,3.934105
14,0.02946117,0.014623463,14,0.31519026,0.5135739,1.4951131,1.4061784
15,0.63589394,0.5975732,15,0.7230001,0.1658696,1.9989456,1.3633803
16,0.76380616,0.70214635,16,0.65799344,0.765578,2.652309,2.7386808
17,0.7833242,0.6399289,17,0.5382085,0.33059585,1.7481086,1.44738
18,0.7946529,0.48029238,18,0.48029888,0.3826003,6.448414,6.0293264
19,0.8005555,0.68937325,19,0.42647737,0.3969468,2.602562,2.0272539
20,0.082096055,0.12665623,20,0.6794896,0.5664842,6.501106,6.3898373
21,0.36158356,0.6184161,21,0.17350097,0.14444125,7.3807077,6.975097
22,0.82453036,0.9975075,22,0.32717505,0.28724056,5.267754,5.527041
23,0.11770066,0.12103993,23,0.6962368,0.86077905,1.3144016,1.1391913
