,inferred policy rate,subject,inferred reward rate,inferred dec temp
0,0.69167423,0,0.6005661,3.773537
1,0.101557046,1,0.19915701,1.6212989
2,0.44784644,2,0.10740645,7.8874345
3,0.40748456,3,0.51039904,3.8442209
4,0.58548903,4,0.665281,4.3312383
5,0.5520828,5,0.15421823,2.2880158
6,0.4022459,6,0.19970062,3.6043892
7,0.60812986,7,0.49513087,3.23041
8,0.1113106,8,0.11588931,4.724014
9,0.37372503,9,0.6877923,3.8676949
10,0.06684131,10,0.101602554,2.6629844
11,0.15346089,11,0.22771981,5.7655616
12,0.17972808,12,0.105709456,7.063285
13,0.5871229,13,0.35382518,4.1915298
14,0.23961478,14,0.670013,3.5274026
15,0.1234928,15,0.11358768,5.018212
16,0.65886915,16,0.6267457,2.4241395
17,0.21897446,17,0.108806185,3.5041764
18,0.09811404,18,0.12472569,2.747665
19,0.2681371,19,0.20471911,1.6922374
20,0.68670875,20,0.68624425,3.3149168
21,0.22030526,21,0.0754801,4.6103635
22,0.07160896,22,0.24989489,3.7379482
23,0.071274035,23,0.093716115,6.2141848
