,policy rate,reward rate,dec temp,subject,true policy rate,inferred policy rate,true reward rate,inferred reward rate,true dec temp,inferred dec temp
0,0.56731576,0.8366119,4.064531,0,0.35726637,0.5221802,0.2673996,0.45324036,4.24582,5.0141544
1,0.5165388,0.4391155,3.5775938,1,0.16357285,0.43467787,0.39144915,0.5558376,2.053312,4.5286517
2,0.4592418,0.6139432,3.5004172,2,0.62171304,0.5108451,0.0004068613,0.54827017,1.3648555,4.498579
3,0.24609931,0.62793463,4.7779183,3,0.35808116,0.4899162,0.46921235,0.5494814,1.8422905,4.3720427
4,0.2519557,0.5987718,5.0586042,4,0.858453,0.52626985,0.005561352,0.54368794,1.6206689,4.2426066
5,0.65204483,0.5887369,3.3761594,5,0.5792996,0.5271962,0.78239876,0.5551509,3.769581,4.451412
6,0.45589328,0.7643779,5.6777864,6,0.92607725,0.55665785,0.17969209,0.54883397,1.4882575,4.442147
7,0.30842847,0.87179285,7.528086,7,0.14773005,0.47043535,0.088371694,0.4465237,6.2256794,5.5012345
8,0.61077976,0.568305,7.2873664,8,0.25658602,0.4477874,0.45966625,0.5545283,1.0740229,4.5765195
9,0.22365443,0.14894946,3.144053,9,0.20568568,0.453044,0.38954967,0.45001656,6.0639806,5.5715146
10,0.3724962,0.85817105,4.74515,0,0.35726637,0.5221802,0.2673996,0.45324036,4.24582,5.0141544
11,0.3430181,0.914013,3.3883128,1,0.16357285,0.43467787,0.39144915,0.5558376,2.053312,4.5286517
12,0.35988328,0.34636012,2.6126146,2,0.62171304,0.5108451,0.0004068613,0.54827017,1.3648555,4.498579
13,0.5714866,0.1702545,0.5229064,3,0.35808116,0.4899162,0.46921235,0.5494814,1.8422905,4.3720427
14,0.24021496,0.45551422,2.3318033,4,0.858453,0.52626985,0.005561352,0.54368794,1.6206689,4.2426066
15,0.5762501,0.7661132,6.5563164,5,0.5792996,0.5271962,0.78239876,0.5551509,3.769581,4.451412
16,0.2625602,0.6181988,4.270712,6,0.92607725,0.55665785,0.17969209,0.54883397,1.4882575,4.442147
17,0.112478636,0.03569868,3.9774597,7,0.14773005,0.47043535,0.088371694,0.4465237,6.2256794,5.5012345
18,0.2846507,0.5619995,1.5628674,8,0.25658602,0.4477874,0.45966625,0.5545283,1.0740229,4.5765195
19,0.23633216,0.4007834,5.665331,9,0.20568568,0.453044,0.38954967,0.45001656,6.0639806,5.5715146
20,0.6783373,0.6498975,4.8319983,0,0.35726637,0.5221802,0.2673996,0.45324036,4.24582,5.0141544
21,0.46332386,0.6294245,4.3447514,1,0.16357285,0.43467787,0.39144915,0.5558376,2.053312,4.5286517
22,0.41065192,0.37911412,2.953434,2,0.62171304,0.5108451,0.0004068613,0.54827017,1.3648555,4.498579
23,0.6445322,0.29299775,3.2632833,3,0.35808116,0.4899162,0.46921235,0.5494814,1.8422905,4.3720427
24,0.52572477,0.7854777,5.789781,4,0.858453,0.52626985,0.005561352,0.54368794,1.6206689,4.2426066
25,0.112880565,0.62382823,5.7190604,5,0.5792996,0.5271962,0.78239876,0.5551509,3.769581,4.451412
26,0.04094489,0.63061947,5.6305447,6,0.92607725,0.55665785,0.17969209,0.54883397,1.4882575,4.442147
27,0.49170965,0.3536099,5.760722,7,0.14773005,0.47043535,0.088371694,0.4465237,6.2256794,5.5012345
28,0.14630474,0.5656346,4.3531713,8,0.25658602,0.4477874,0.45966625,0.5545283,1.0740229,4.5765195
29,0.6534603,0.54212785,3.8887274,9,0.20568568,0.453044,0.38954967,0.45001656,6.0639806,5.5715146
30,0.1607171,0.43208322,4.41178,0,0.35726637,0.5221802,0.2673996,0.45324036,4.24582,5.0141544
31,0.52365375,0.41127953,1.8593047,1,0.16357285,0.43467787,0.39144915,0.5558376,2.053312,4.5286517
32,0.6674559,0.11273241,4.174143,2,0.62171304,0.5108451,0.0004068613,0.54827017,1.3648555,4.498579
33,0.60329306,0.53839904,1.6496195,3,0.35808116,0.4899162,0.46921235,0.5494814,1.8422905,4.3720427
34,0.42592624,0.43712187,8.709881,4,0.858453,0.52626985,0.005561352,0.54368794,1.6206689,4.2426066
35,0.6421336,0.72159684,6.564678,5,0.5792996,0.5271962,0.78239876,0.5551509,3.769581,4.451412
36,0.7290511,0.44717503,6.099633,6,0.92607725,0.55665785,0.17969209,0.54883397,1.4882575,4.442147
37,0.8000046,0.36590424,2.6430535,7,0.14773005,0.47043535,0.088371694,0.4465237,6.2256794,5.5012345
38,0.57559466,0.41603678,4.4042916,8,0.25658602,0.4477874,0.45966625,0.5545283,1.0740229,4.5765195
39,0.17611873,0.34568056,2.2084825,9,0.20568568,0.453044,0.38954967,0.45001656,6.0639806,5.5715146
40,0.23337455,0.63707185,4.1802416,0,0.35726637,0.5221802,0.2673996,0.45324036,4.24582,5.0141544
41,0.47173554,0.79271,2.794553,1,0.16357285,0.43467787,0.39144915,0.5558376,2.053312,4.5286517
42,0.56432277,0.45344698,7.8375764,2,0.62171304,0.5108451,0.0004068613,0.54827017,1.3648555,4.498579
43,0.6161201,0.5500281,1.0428586,3,0.35808116,0.4899162,0.46921235,0.5494814,1.8422905,4.3720427
44,0.67452836,0.4046646,3.0236106,4,0.858453,0.52626985,0.005561352,0.54368794,1.6206689,4.2426066
45,0.8091594,0.65560585,5.26587,5,0.5792996,0.5271962,0.78239876,0.5551509,3.769581,4.451412
46,0.34995416,0.70936275,4.342315,6,0.92607725,0.55665785,0.17969209,0.54883397,1.4882575,4.442147
