,policy rate,reward rate,dec temp,subject,true policy rate,inferred policy rate,true reward rate,inferred reward rate,true dec temp,inferred dec temp
0,0.47055805,0.35985237,5.132906,0,0.6971745,0.5960071,0.17627853,0.3395022,5.077299,5.1370225
1,0.25502944,0.3060196,3.2889538,1,0.07084012,0.1751405,0.29309905,0.3565722,2.9423692,3.4467294
2,0.7546337,0.253265,6.5343385,2,0.34435105,0.4816383,0.31821793,0.34640336,6.928856,6.627336
3,0.1779679,0.66132045,2.233577,3,0.2904817,0.28277767,0.510046,0.64984155,1.7667166,2.839225
4,0.451966,0.78013647,4.196293,4,0.68747807,0.66892743,0.7858152,0.6835051,1.6070533,2.6502056
5,0.33310643,0.7022703,1.9479246,5,0.3034317,0.36129627,0.58498234,0.6957642,1.0753139,2.5137231
6,0.4282614,0.67205286,1.3686658,6,0.3600334,0.5817644,0.79764354,0.70792615,4.2636766,3.2519495
7,0.74418193,0.6981038,5.65956,7,0.40414,0.61114997,0.42383015,0.5684148,4.4198127,6.9483514
8,0.54370755,0.64814055,5.654683,8,0.47253203,0.63561594,0.91253066,0.68550646,6.501489,3.4715996
9,0.26271892,0.5453661,1.7929112,9,0.3487438,0.49956343,0.74206114,0.69104785,1.3109878,2.4241598
10,0.46851608,0.4423557,1.6583835,10,0.9967576,0.34655243,0.011845887,0.64548755,5.3628254,2.5956979
11,0.38797244,0.3324548,1.2758813,11,0.6332386,0.6719359,0.74142647,0.69673157,3.794489,3.5802205
12,0.15226364,0.8966423,2.477721,12,0.14233154,0.15472582,0.8605047,0.5783684,1.1600052,2.481312
13,0.6154362,0.69563746,3.293762,13,0.6870218,0.677223,0.47082806,0.56462586,2.3359947,3.5119565
14,0.673574,0.7032997,6.617803,14,0.8686063,0.69662035,0.8195417,0.6695347,6.7158165,3.5008233
15,0.70811313,0.28651038,4.0685225,15,0.33104277,0.49512553,0.27946264,0.31169444,4.5387506,4.053267
16,0.49942085,0.56958604,3.6990829,16,0.5624241,0.5558976,0.2613287,0.39797565,4.2250643,3.7932515
17,0.4177862,0.6694541,6.932512,17,0.36756974,0.36674693,0.6678158,0.6628522,6.2911143,5.934751
18,0.7363167,0.5413281,5.8166122,18,0.56673366,0.62742114,0.4935493,0.60501295,6.2266803,6.4467854
19,0.63734,0.14329518,3.2146888,19,0.36525118,0.7290957,0.4305175,0.3773127,5.7098384,6.0215178
20,0.6600243,0.891234,2.9356189,20,0.67734647,0.6970204,0.96837336,0.71475434,4.5827775,2.6521904
21,0.17081581,0.74454564,2.3744497,21,0.09924966,0.18124512,0.7254775,0.6932898,4.08434,3.0256467
22,0.20896119,0.77940834,2.202969,22,0.7299479,0.44579825,0.9854353,0.73080623,3.2768192,2.4595711
23,0.15936512,0.8722891,4.6313567,23,0.3284108,0.31755096,0.38655478,0.6429947,1.4630959,3.4403017
24,0.7498615,0.36553338,4.0476522,24,0.34607595,0.5362915,0.46726388,0.5274677,5.474063,5.6747375
25,0.52644914,0.69224447,3.3771574,25,0.5266521,0.5775972,0.84565115,0.6795037,5.348172,2.675927
26,0.3156292,0.61868316,6.4363074,26,0.34902954,0.41915017,0.5162457,0.58906597,3.834136,5.215279
27,0.2164736,0.55455405,5.5609517,27,0.34388322,0.2631635,0.24876046,0.35070848,4.2796106,5.6705585
28,0.50511754,0.3525217,3.2857375,28,0.995737,0.6006677,0.56150687,0.6030415,3.2495072,4.5692754
29,0.758075,0.3399821,3.1308806,29,0.78475845,0.7169282,0.40806723,0.45740688,2.2043447,3.6378875
30,0.09950332,0.3723187,4.054805,30,0.34033376,0.22585227,0.8364211,0.6087842,1.4258704,2.5430255
31,0.17732157,0.8423564,5.402487,31,0.4354378,0.41603377,0.7419257,0.66887695,4.5399942,3.6141582
32,0.5910002,0.6618885,2.678534,32,0.58802664,0.49098492,0.6615427,0.5664685,2.272096,3.151378
33,0.1796652,0.8325076,6.47855,33,0.18723273,0.22380072,0.9485334,0.67711836,1.5935553,2.9166903
