,policy rate,reward rate,dec temp,subject,true policy rate,inferred policy rate,true reward rate,inferred reward rate,true dec temp,inferred dec temp
0,0.73311013,0.7899967,4.328817,0,0.97050315,0.6237489,0.5289387,0.59512377,3.796762,3.462442
1,0.7220274,0.5242233,1.9575379,1,0.5926383,0.7342118,0.9875463,0.7516433,5.0278435,3.1820202
2,0.5604978,0.8277207,6.1329355,2,0.66325814,0.44864342,0.6746101,0.64836216,1.3943334,2.4278865
3,0.4973965,0.75999546,5.698683,3,0.625327,0.5165072,0.61827815,0.5646217,3.6278803,4.792758
4,0.2452145,0.6191677,7.0924215,4,0.09377414,0.15036438,0.57011694,0.5417463,4.6387725,6.5149617
5,0.5135934,0.4580196,3.7551837,5,0.5383809,0.624147,0.2782656,0.46827418,2.3498287,4.240053
6,0.73281956,0.024415052,1.32847,6,0.80987674,0.49122468,0.061884582,0.24680676,3.6356065,2.5464149
7,0.78092676,0.4550394,5.493419,7,0.39635062,0.6307479,0.5065531,0.48685536,4.2582927,5.0939035
8,0.4567643,0.57557535,2.3468692,8,0.30456734,0.29693753,0.25700146,0.32101318,2.0311432,2.6842456
9,0.63811505,0.7661623,3.692747,9,0.4688306,0.56757885,0.95150936,0.75387317,4.77063,2.863934
10,0.53315604,0.6220963,3.958442,10,0.73860604,0.6503848,0.77834296,0.6622509,3.6832569,4.7796874
11,0.64645875,0.31160164,6.4354887,11,0.6541058,0.57355493,0.38987422,0.32006532,6.8943896,6.2560444
12,0.6798902,0.13847741,5.927781,12,0.7376531,0.5833734,0.11468613,0.14896876,5.2018375,4.861018
13,0.674481,0.6009333,2.0363653,13,0.68261147,0.6606439,0.8783654,0.66165453,1.0033814,1.9058661
14,0.7248246,0.54148996,1.470301,14,0.9342034,0.66116846,0.6325799,0.66031855,2.4765072,3.034833
15,0.13457209,0.07313425,3.5598195,15,0.22649562,0.1625317,0.11829281,0.09348466,2.3680015,3.8183737
16,0.15389903,0.9166495,3.4799356,16,0.102493644,0.28138465,0.85814065,0.7579628,5.517257,4.8961062
17,0.36123794,0.5843561,3.0848532,17,0.5516282,0.56523055,0.6936056,0.52582777,5.3261056,3.4678288
18,0.60994864,0.3164315,3.2119799,18,0.640648,0.6604034,0.6261998,0.57535034,2.5530183,2.8481493
19,0.43384814,0.84964424,3.3303068,19,0.55242974,0.33048967,0.6799077,0.7159496,2.015593,2.799124
20,0.040626366,0.46932063,6.912083,20,0.05487454,0.1027916,0.38150704,0.5082877,6.4085765,7.069035
21,0.30200568,0.11832115,4.243941,21,0.44776857,0.42526072,0.058191657,0.08300664,3.3475447,3.8042789
22,0.039558005,0.37066016,2.24176,22,0.020730078,0.06404501,0.75950503,0.3707079,2.98987,2.607018
23,0.17539619,0.5789145,2.0667129,23,0.20864064,0.19966821,0.52170414,0.5670765,1.6794143,2.7197359
24,0.5220933,0.5100299,4.452465,24,0.4819674,0.3925039,0.6142071,0.58822995,4.3030767,5.0576673
25,0.8195905,0.69248724,8.5683,25,0.56612986,0.566207,0.33392394,0.5625898,4.156131,5.227713
26,0.93632764,0.53023446,4.4607263,26,0.9666419,0.81285805,0.40888256,0.40412486,4.213815,3.974408
27,0.884209,0.20223957,0.9044165,27,0.9337922,0.7088872,0.79466283,0.73036253,3.1893084,2.3289917
28,0.49950173,0.22675027,4.228574,28,0.45783567,0.53861463,0.23020118,0.21796414,2.0216177,3.962063
29,0.79071385,0.510884,3.965344,29,0.73248297,0.69664687,0.592143,0.54205126,6.362125,4.9927607
30,0.59812564,0.5109739,6.1244545,30,0.99704707,0.7203695,0.53137076,0.44034338,6.3128633,6.0497284
31,0.3446156,0.66740537,6.719911,31,0.42958784,0.48556453,0.49667394,0.68052965,4.765582,4.998708
32,0.18947473,0.7884067,2.9810488,32,0.34650922,0.19683397,0.8397129,0.6250247,3.873536,2.0852726
33,0.24282497,0.53389806,6.1141157,33,0.24835038,0.40241823,0.54808986,0.53780764,6.716686,6.187033
34,0.54396915,0.37584397,4.615211,34,0.6140586,0.4215718,0.1962769,0.29556,3.8358524,4.747626
35,0.11204467,0.05865139,2.5773354,35,0.12443888,0.118068464,0.023680687,0.108342335,1.5169958,2.3923795
36,0.17463318,0.92414,4.921284,36,0.1631589,0.2285454,0.8297545,0.7244994,6.3666434,3.5194602
37,0.36289856,0.7060881,6.891415,37,0.31383562,0.33129868,0.6391998,0.58460045,6.238966,6.8870864
38,0.23936771,0.5192442,7.586999,38,0.41592455,0.31725335,0.35694194,0.4721437,3.8300238,6.569212
39,0.22863926,0.52451235,1.2232203,39,0.125417,0.19767055,0.7826189,0.58942676,2.1620123,2.6401465
40,0.52293384,0.62088287,3.1642983,40,0.46379083,0.53736424,0.57927537,0.60753804,2.5575902,3.121249
41,0.35910723,0.29551238,2.6089633,41,0.26552695,0.31873322,0.44351488,0.518854,2.1846514,3.1028936
42,0.91251826,0.2759824,4.3873096,42,0.82051235,0.76001185,0.35895753,0.3402212,4.8049927,4.339737
43,0.399262,0.17036225,3.2519975,43,0.28119516,0.36823964,0.07726306,0.15627065,3.340445,2.6961832
44,0.24567401,0.4718621,1.4346396,44,0.17156768,0.20855127,0.8569565,0.67557627,2.3267055,2.407474
45,0.6183903,0.091713995,7.116252,45,0.7125322,0.4975113,0.049159706,0.05792186,5.7357774,6.091161
46,0.39936465,0.5056008,4.444353,46,0.5062668,0.38728723,0.48324066,0.50212216,4.1303844,5.3507147
47,0.77514946,0.8059497,3.5202792,47,0.35937184,0.59895486,0.6501691,0.7247147,1.4005171,2.8176973
48,0.82634807,0.16855448,5.2032385,48,0.9501616,0.7227236,0.20293885,0.18071735,6.910977,6.0636973
49,0.053722933,0.42828494,4.2209525,49,0.07256138,0.09048315,0.20650917,0.38392714,2.5464394,4.279966
50,0.6641925,0.71089286,3.216736,0,0.97050315,0.6237489,0.5289387,0.59512377,3.796762,3.462442
51,0.79445624,0.62170273,5.3893275,1,0.5926383,0.7342118,0.9875463,0.7516433,5.0278435,3.1820202
52,0.40334558,0.4587324,2.6868305,2,0.66325814,0.44864342,0.6746101,0.64836216,1.3943334,2.4278865
53,0.66087466,0.74682385,5.016479,3,0.625327,0.5165072,0.61827815,0.5646217,3.6278803,4.792758
54,0.11781528,0.4435683,5.061092,4,0.09377414,0.15036438,0.57011694,0.5417463,4.6387725,6.5149617
55,0.49144906,0.5857496,5.5494127,5,0.5383809,0.624147,0.2782656,0.46827418,2.3498287,4.240053
56,0.57358825,0.31425625,3.5392127,6,0.80987674,0.49122468,0.061884582,0.24680676,3.6356065,2.5464149
57,0.6045622,0.59204996,4.5986333,7,0.39635062,0.6307479,0.5065531,0.48685536,4.2582927,5.0939035
58,0.37452152,0.3694045,3.3006966,8,0.30456734,0.29693753,0.25700146,0.32101318,2.0311432,2.6842456
59,0.5718862,0.841786,4.570186,9,0.4688306,0.56757885,0.95150936,0.75387317,4.77063,2.863934
60,0.7054924,0.6729207,3.9428725,10,0.73860604,0.6503848,0.77834296,0.6622509,3.6832569,4.7796874
61,0.7412591,0.24370322,6.678692,11,0.6541058,0.57355493,0.38987422,0.32006532,6.8943896,6.2560444
62,0.57517225,0.11451249,5.854659,12,0.7376531,0.5833734,0.11468613,0.14896876,5.2018375,4.861018
63,0.7482451,0.76115763,3.0776048,13,0.68261147,0.6606439,0.8783654,0.66165453,1.0033814,1.9058661
64,0.68576455,0.7180034,2.7921402,14,0.9342034,0.66116846,0.6325799,0.66031855,2.4765072,3.034833
65,0.14270943,0.061680723,3.4318566,15,0.22649562,0.1625317,0.11829281,0.09348466,2.3680015,3.8183737
66,0.17029555,0.7918589,6.8794165,16,0.102493644,0.28138465,0.85814065,0.7579628,5.517257,4.8961062
67,0.81198764,0.49460828,3.8730528,17,0.5516282,0.56523055,0.6936056,0.52582777,5.3261056,3.4678288
68,0.34483588,0.5169623,2.324669,18,0.640648,0.6604034,0.6261998,0.57535034,2.5530183,2.8481493
69,0.4334709,0.40801156,3.5884151,19,0.55242974,0.33048967,0.6799077,0.7159496,2.015593,2.799124
70,0.18289758,0.5162669,7.804384,20,0.05487454,0.1027916,0.38150704,0.5082877,6.4085765,7.069035
71,0.5932379,0.07063963,2.6977181,21,0.44776857,0.42526072,0.058191657,0.08300664,3.3475447,3.8042789
72,0.079314515,0.32524058,2.680244,22,0.020730078,0.06404501,0.75950503,0.3707079,2.98987,2.607018
73,0.18405464,0.50118864,1.421489,23,0.20864064,0.19966821,0.52170414,0.5670765,1.6794143,2.7197359
74,0.39720583,0.8421018,8.212393,24,0.4819674,0.3925039,0.6142071,0.58822995,4.3030767,5.0576673
75,0.65884805,0.5648128,4.3103657,25,0.56612986,0.566207,0.33392394,0.5625898,4.156131,5.227713
76,0.8336475,0.5283956,5.3255343,26,0.9666419,0.81285805,0.40888256,0.40412486,4.213815,3.974408
77,0.6800386,0.9125047,3.4705245,27,0.9337922,0.7088872,0.79466283,0.73036253,3.1893084,2.3289917
78,0.705755,0.26091605,4.356986,28,0.45783567,0.53861463,0.23020118,0.21796414,2.0216177,3.962063
79,0.83895576,0.32811043,2.8677523,29,0.73248297,0.69664687,0.592143,0.54205126,6.362125,4.9927607
80,0.62569714,0.33919904,5.478334,30,0.99704707,0.7203695,0.53137076,0.44034338,6.3128633,6.0497284
81,0.4821743,0.65787697,5.5336857,31,0.42958784,0.48556453,0.49667394,0.68052965,4.765582,4.998708
