,policy rate,reward rate,dec temp,subject,true policy rate,inferred policy rate,true reward rate,inferred reward rate,true dec temp,inferred dec temp
0,0.66685176,0.2065564,5.2115293,0,0.6971745,0.62125635,0.17627853,0.26041436,5.077299,4.687035
1,0.06628569,0.33855268,2.621939,1,0.07084012,0.10211521,0.29309905,0.31081647,2.9423692,3.2666428
2,0.54574853,0.2610684,6.3893642,2,0.34435105,0.50622576,0.31821793,0.31859133,6.928856,6.2765436
3,0.27228457,0.843765,1.9351907,3,0.2904817,0.2759631,0.510046,0.58266234,1.7667166,2.333739
4,0.9403492,0.74177426,3.2257824,4,0.68747807,0.70960486,0.7858152,0.66590464,1.6070533,1.9406978
5,0.45315996,0.67593,1.097598,5,0.3034317,0.35016453,0.58498234,0.696741,1.0753139,1.5083773
6,0.75785065,0.89861953,3.945681,6,0.3600334,0.6162629,0.79764354,0.8861369,4.2636766,4.752178
7,0.5941852,0.5715925,6.7452807,7,0.40414,0.6237737,0.42383015,0.57933336,4.4198127,6.891538
8,0.6324499,0.74539334,3.8052797,8,0.47253203,0.6571874,0.91253066,0.8386466,6.501489,4.2923026
9,0.57906324,0.8516622,1.220912,9,0.3487438,0.500477,0.74206114,0.695473,1.3109878,1.5154425
10,0.6727425,0.009240418,5.3958235,10,0.9967576,0.8306323,0.011845887,0.010298,5.3628254,6.0203815
11,0.7629512,0.87218237,3.415206,11,0.6332386,0.6811605,0.74142647,0.79248744,3.794489,4.050975
12,0.07750804,0.049651455,0.93580365,12,0.14233154,0.10036547,0.8605047,0.40906036,1.1600052,1.785179
13,0.6714795,0.527832,2.3389688,13,0.6870218,0.7218157,0.47082806,0.50933856,2.3359947,3.1947112
14,0.71337223,0.34451604,1.4226813,14,0.8686063,0.7356431,0.8195417,0.7460441,6.7158165,3.7345412
15,0.5014262,0.32415882,2.8569427,15,0.33104277,0.4753815,0.27946264,0.2756418,4.5387506,3.757839
16,0.32912517,0.30935407,3.5386407,16,0.5624241,0.54116064,0.2613287,0.34990045,4.2250643,3.571231
17,0.4762591,0.75947213,6.830064,17,0.36756974,0.3791448,0.6678158,0.6416455,6.2911143,5.7912207
18,0.33799964,0.52433723,5.609805,18,0.56673366,0.6468281,0.4935493,0.6057618,6.2266803,6.462202
19,0.9313542,0.26545474,6.0287166,19,0.36525118,0.78647184,0.4305175,0.34447926,5.7098384,5.7916164
20,0.9277726,0.5516058,3.5490017,20,0.67734647,0.73029745,0.96837336,0.7614697,4.5827775,2.176778
21,0.053192556,0.55093855,1.8542308,21,0.09924966,0.09113367,0.7254775,0.7432759,4.08434,2.6040494
22,0.2815416,0.645447,0.61927044,22,0.7299479,0.45567998,0.9854353,0.83194447,3.2768192,1.8141114
23,0.32821667,0.80918336,2.9288003,23,0.3284108,0.30727437,0.38655478,0.64036506,1.4630959,3.25922
24,0.7672558,0.65224874,6.4917517,24,0.34607595,0.53300244,0.46726388,0.5016362,5.474063,5.475466
25,0.5616178,0.6931649,1.8411577,25,0.5266521,0.5980169,0.84565115,0.6253009,5.348172,2.024828
26,0.43035913,0.73476994,4.8963485,26,0.34902954,0.41102073,0.5162457,0.59256476,3.834136,4.912537
27,0.20110925,0.35808194,6.3712616,27,0.34388322,0.2525179,0.24876046,0.30581322,4.2796106,5.392421
28,0.48537555,0.8185036,6.0242624,28,0.995737,0.59822494,0.56150687,0.5544415,3.2495072,4.4099
29,0.78753287,0.3253867,2.6031294,29,0.78475845,0.76812404,0.40806723,0.3805969,2.2043447,3.210019
30,0.29075128,0.5541959,1.458427,30,0.34033376,0.21020629,0.8364211,0.54660743,1.4258704,1.9233783
31,0.12820576,0.58523726,3.3646936,31,0.4354378,0.37954402,0.7419257,0.72902113,4.5399942,3.9945054
