,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp
112,0.46853486,0.4158827,112,0.09165384,0.10166389,5.497743,6.2342367
113,0.7011642,0.7459474,113,0.7193139,0.83258814,2.0238793,1.3485262
114,0.8248193,0.9827415,114,0.15755424,0.13862926,3.131889,2.8534544
115,0.483646,0.49766862,115,0.09332876,0.091765165,4.4241414,4.1797514
116,0.59555215,0.5439803,116,0.28916308,0.33516395,4.3334002,5.0816627
117,0.78099096,0.71533924,117,0.16745897,0.21628612,7.2510185,6.6670194
118,0.7914763,0.8309359,118,0.2016429,0.15514708,5.4779434,6.208827
119,0.7796635,0.7914769,119,0.6929856,0.61349463,6.9046288,6.51464
120,0.5324411,0.43969953,120,0.42376637,0.42144543,2.6439776,1.7647017
121,0.7178022,0.80329776,121,0.22383575,0.21348292,3.2066422,4.0514226
122,0.070276946,0.0682596,122,0.5209116,0.7117303,2.4970903,2.1724565
123,0.21622455,0.23297799,123,0.37230048,0.31350726,2.6869102,2.9741123
124,0.70115876,0.6995477,124,0.5669198,0.47265673,5.0264845,3.859477
125,0.053111434,0.03197944,125,0.50346893,0.44225878,4.5843964,4.4250054
126,0.82510644,0.8849651,126,0.8631195,0.80009,4.9871893,5.101509
127,0.5156394,0.5695764,127,0.89400595,0.9195581,6.7746983,6.1201105
128,0.6674388,0.49144763,128,0.8691345,0.8219159,6.0458755,6.219895
129,0.69770294,0.5895769,129,0.28382793,0.19196099,6.034657,5.313727
130,0.58615834,0.5520789,130,0.25162226,0.23646152,2.5406663,2.8327122
131,0.64114803,0.8423638,131,0.65034854,0.7129989,4.3310547,3.8004036
132,0.102434024,0.1568532,132,0.5306597,0.50599456,4.4487243,4.105907
133,0.5242865,0.88561016,133,0.49387398,0.40823328,5.202575,5.6169386
134,0.75955665,0.8244655,134,0.75599265,0.8354469,2.7262313,3.191083
135,0.34549624,0.39416164,135,0.28413942,0.18952823,5.4494267,5.241307
136,0.76986635,0.77433014,136,0.46560737,0.7891364,1.7937862,1.3026912
137,0.3733029,0.37098742,137,0.16444936,0.21120882,5.073391,5.206638
138,0.4027779,0.3102559,138,0.6790034,0.6045131,5.0664883,5.4306736
139,0.8627407,0.92562777,139,0.84955335,0.9483947,4.9326296,5.357484
140,0.3101278,0.43864578,140,0.1980072,0.20184875,5.253117,4.986393
141,0.46511135,0.4357667,141,0.48541963,0.44985944,1.6307487,1.5708878
142,0.6022077,0.73840046,142,0.3711464,0.31416655,4.503584,3.6223493
143,0.7586523,0.7092387,143,0.36840764,0.6700034,2.3627703,1.0153322
144,0.5563992,0.7091155,144,0.38140374,0.12176281,1.3115884,1.318253
145,0.8523364,0.769936,145,0.42735773,0.40373892,2.8019326,3.2524927
146,0.3766216,0.34815544,146,0.5902598,0.4930259,4.21025,3.952758
147,0.7885115,0.62197953,147,0.1851297,0.127343,3.519669,3.1698322
148,0.55461484,0.47474438,148,0.106475785,0.13847655,4.0409126,3.9726393
149,0.44749758,0.6603199,149,0.81919616,0.96255827,2.9785118,2.3155107
150,0.3230143,0.47119337,150,0.6721584,0.5916833,5.102418,6.1801972
151,0.52623445,0.67353314,151,0.84260106,0.90289515,6.2185254,4.6937156
152,0.74765944,0.84417886,152,0.5882707,0.5289569,5.5875883,6.898676
153,0.050619468,0.033743322,153,0.2555624,0.17102677,1.765102,1.6959345
154,0.23979521,0.19078708,154,0.09448023,0.092933476,3.3451254,3.6299314
155,0.042072814,0.010759056,155,0.3769098,0.25333142,2.7751396,2.401126
156,0.37731963,0.5926642,156,0.8746493,0.9681115,5.520641,6.418481
157,0.39569825,0.60807997,157,0.72418666,0.84039885,3.1689243,2.8884254
158,0.40762475,0.28435314,158,0.1019862,0.1018582,5.812909,5.9584913
159,0.32920143,0.12439245,159,0.20844094,0.17162853,3.0243154,2.082996
160,0.31301102,0.31767952,160,0.7297112,0.68335223,2.7084672,3.261658
161,0.40224364,0.79186755,161,0.65731466,0.5603237,1.5784013,1.0076082
162,0.6585294,0.65564334,162,0.11908433,0.14352196,5.320653,5.8104715
163,0.23158494,0.3057636,163,0.75409937,0.60866076,4.695233,5.002108
164,0.5096878,0.3902046,164,0.60735005,0.5230079,6.526095,6.6317034
165,0.27780506,0.33997792,165,0.5037629,0.3792081,2.9867516,2.6897151
166,0.50821376,0.6160885,166,0.86476576,0.85327333,4.2592244,3.7582557
167,0.40705732,0.34397197,167,0.16717733,0.03246045,1.5590688,2.3476455
168,0.107030794,0.10921538,168,0.42308453,0.48701835,4.798456,4.926718
169,0.19028403,0.20654404,169,0.15452957,0.12603575,2.6730878,2.800082
170,0.8446648,0.7668685,170,0.6327007,0.73001724,3.4138255,3.488738
171,0.71496606,0.6841495,171,0.5556559,0.3450871,2.050892,2.6080773
172,0.40728912,0.46914387,172,0.6254905,0.6414451,3.8528106,5.1977277
173,0.49528912,0.20216233,173,0.4629366,0.46428233,5.5078564,5.917161
174,0.79867625,0.9997096,174,0.24309453,0.20557904,2.6472056,2.3381581
175,0.029143425,0.017039537,175,0.64601624,0.692314,6.663146,6.9057856
176,0.3752987,0.19541204,176,0.21127939,0.23098022,4.0040493,3.726706
177,0.34692472,0.24998248,177,0.6165084,0.5443204,6.8019533,5.5984883
178,0.25989094,0.36521387,178,0.68241566,0.7657334,5.872525,5.8052597
179,0.7724623,0.7530239,179,0.20122156,0.23312622,2.8138628,3.662056
180,0.46907905,0.36372983,180,0.15799244,0.1960355,5.300424,5.387065
181,0.81805015,0.9415468,181,0.1030645,0.11503309,6.366857,6.9710484
182,0.08281274,0.062391758,182,0.41366786,0.3750096,1.3891145,1.6581079
183,0.6845715,0.7205798,183,0.6595048,0.6710657,5.883669,6.946259
184,0.33065546,0.37658632,184,0.26690912,0.23271036,7.1163173,6.674098
185,0.33949658,0.7280147,185,0.00970995,0.0011375546,3.090668,3.7954364
186,0.062432624,0.097307205,186,0.67757833,0.8923802,2.231128,2.3715487
187,0.38523236,0.47809267,187,0.1221082,0.11019349,5.8813643,5.798073
