,policy rate,reward rate,dec temp,subject
0,0.8331732,0.23939157,3.8043075,0
1,0.06790942,0.30546758,2.6752875,1
2,0.57710564,0.29198968,4.109097,2
3,0.24961197,0.6984631,2.9278686,3
4,0.85250705,0.5124493,2.68692,4
5,0.28762728,0.91145164,1.5738432,5
6,0.6588366,0.9257327,4.2131205,6
7,0.66465163,0.4498601,6.0510654,7
8,0.70462805,0.81816065,4.4604483,8
9,0.46403265,0.7836702,1.445514,9
10,0.9158027,0.0103015695,6.19059,10
11,0.723853,0.9352746,5.6641083,11
12,0.062927425,0.6955574,1.6023133,12
13,0.76311815,0.32737857,1.932029,13
14,0.91833174,0.93411565,5.4529333,14
15,0.28846347,0.26760337,2.7996218,15
16,0.49444327,0.24472202,2.905707,16
17,0.43652242,0.7997543,5.6021986,17
18,0.77819973,0.53973264,5.169621,18
19,0.71900743,0.43371472,5.610221,19
20,0.46002322,0.97984385,2.1810958,20
21,0.080519766,0.8419945,3.0192158,21
22,0.5660961,0.25934508,0.48643738,22
23,0.11492183,0.51449686,2.6813283,23
24,0.37663123,0.4238764,5.003992,24
25,0.79143643,0.56797814,1.5812917,25
26,0.4044213,0.45483473,4.1018577,26
27,0.27195495,0.4741147,5.1674943,27
28,0.57510406,0.58303016,4.473685,28
29,0.7265184,0.52874696,2.8219886,29
30,0.15649118,0.6935299,3.5558197,30
31,0.4031617,0.74847835,2.3697896,31
32,0.51854163,0.40298453,1.6396337,32
33,0.21969263,0.77114475,2.76362,33
34,0.488566,0.77564913,4.0273356,34
35,0.6581504,0.821383,3.3444905,35
36,0.2773036,0.7729776,2.1702752,36
37,0.87165433,0.47346666,4.649407,37
38,0.19510539,0.8556596,2.5785413,38
39,0.44855073,0.5655312,5.909226,39
40,0.31488603,0.32903486,6.675868,40
41,0.61621535,0.6667953,1.4834976,41
42,0.25240692,0.6636601,3.5315301,42
43,0.1198673,0.7120309,1.8860096,43
44,0.37739065,0.035014674,6.3993683,44
45,0.75112236,0.075126275,6.336872,45
46,0.8334721,0.807447,1.706101,46
47,0.2573667,0.50946283,6.0526705,47
48,0.006819416,0.37136865,2.6498837,48
49,0.7276088,0.5308763,4.4707875,49
50,0.7373099,0.26726764,3.7717,0
51,0.049952425,0.12707898,2.8991246,1
52,0.3139908,0.44986,7.252594,2
53,0.25573096,0.6828822,4.089126,3
54,0.90738225,0.7754998,4.0226407,4
55,0.3490989,0.7619989,0.8375491,5
56,0.8641125,0.93319714,8.003273,6
57,0.79824126,0.50088036,6.2278533,7
58,0.6971964,0.90728396,2.4543877,8
59,0.4980612,0.3869729,1.226329,9
60,0.8698514,0.009849229,5.9609656,10
61,0.83319426,0.7258778,4.3994055,11
62,0.07463517,0.58402485,1.936579,12
63,0.6504287,0.6298111,3.7027779,13
64,0.8274987,0.5954622,3.6154318,14
65,0.072925106,0.28445,4.4236116,15
66,0.28824845,0.31867173,3.4554217,16
67,0.20003827,0.86013204,7.7242093,17
68,0.55555373,0.8359263,7.5687356,18
69,0.7656483,0.30739576,5.707755,19
70,0.75167036,0.9332334,4.6566467,20
