,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp,inferred habitual tendency,true habitual tendency
0,0.45662597,0.49982202,0,0.7667323,0.9798348,1.6112193,2.418889,0.7976647,0.93119526
1,0.021486446,0.03842807,1,0.45296583,0.47135472,4.2406487,4.315297,0.5903967,0.6140305
2,0.4280639,0.7324464,2,0.065406695,0.07333499,2.2433438,2.7330136,0.7247054,0.51590437
3,0.3791162,0.6668106,3,0.8987665,0.97274864,4.3331866,4.370891,0.379542,0.15539682
4,0.026455536,0.4507711,4,0.5213431,0.4174065,4.72596,4.308692,0.4150655,0.22276765
5,0.10775562,0.14066523,5,0.9069717,0.9465207,5.9175997,6.324316,0.701191,0.61903894
6,0.6597222,0.6433515,6,0.3305442,0.32917106,7.2519584,6.709607,0.40844044,0.17480737
7,0.40151605,0.99470377,7,0.62105095,0.57743925,6.865556,6.559307,0.8095856,0.9564427
8,0.20516318,0.24509376,8,0.2978072,0.24370903,2.910152,2.569992,0.83022875,0.71447366
9,0.07293352,0.07576996,9,0.053947132,0.03564328,5.584909,6.0397406,0.35649127,0.111646295
10,0.09361014,0.11453128,10,0.3597899,0.59594846,0.86963683,1.0247993,0.86118585,0.8826473
11,0.46946022,0.4302866,11,0.5977977,0.5652959,4.921377,4.4054055,0.33973274,0.30434602
12,0.40321565,0.42350274,12,0.6944429,0.4570579,1.6756748,2.0719461,0.8116996,0.6883649
13,0.5583239,0.50030726,13,0.85855526,0.905205,4.1316166,3.4263082,0.15541169,0.19327903
14,0.6942551,0.94875365,14,0.081594884,0.06761378,4.0941176,4.112953,0.76352304,0.8465586
15,0.067802615,0.5009707,15,0.120160334,0.00687474,1.7092001,4.7377143,0.75700456,0.6206021
16,0.6441703,0.531046,16,0.2508526,0.22402579,6.6289487,6.9033585,0.78370357,0.75434804
17,0.8648125,0.85701114,17,0.7105606,0.6780247,2.3707323,3.2512066,0.8361563,0.8343186
18,0.75819737,0.8955082,18,0.6215039,0.54861337,4.3716984,3.757761,0.8141792,0.8459382
19,0.19733965,0.16234952,19,0.7412015,0.83683383,1.9477078,1.1387832,0.7602968,0.5117534
20,0.86695963,0.694459,20,0.9307938,0.99986666,4.0352254,4.43682,0.7522986,0.5754508
21,0.59084386,0.6408304,21,0.41238683,0.3904795,4.250725,4.2993417,0.4051593,0.2788779
22,0.41820794,0.4708228,22,0.05169887,0.04219216,5.728659,5.1994143,0.7414808,0.6447357
23,0.7664414,0.6174246,23,0.9104393,0.8595004,6.362386,6.118405,0.7503247,0.58122087
