,discount,learning rate,mf weight,mb weight,repetition,subject
0,0.204289,0.4207389,0.9163282,0.86192775,0.12657978,0
1,0.34506202,0.7911827,1.207181,0.36924702,0.15892868,1
2,0.5828592,0.75393945,0.46280202,1.5271926,0.24953328,2
3,0.15235122,0.80792046,0.4575206,0.56103075,0.37077492,3
4,0.49793693,0.5704297,0.7786881,0.9859738,0.06453886,4
5,0.1941337,0.099675916,0.3414191,0.98676276,0.19439743,5
6,0.17445968,0.47925985,1.131991,0.46147326,0.1252195,6
7,0.5035142,0.71557146,0.56244826,0.7378702,0.21553956,7
8,0.17222798,0.737957,0.835876,0.41205633,0.18476309,8
9,0.37069094,0.45157593,0.45055133,0.6656357,0.29616305,9
10,0.21219057,0.7105383,0.38271773,0.9394741,0.17728968,10
11,0.5150187,0.7444058,0.24546382,1.1764696,0.14843385,11
12,0.16592553,0.79293,1.199983,0.56396824,0.32222202,12
13,0.12577169,0.49021122,1.104398,0.7384749,0.12309889,13
14,0.24897216,0.15133159,0.6976872,0.3808489,0.095812015,14
15,0.5272297,0.5615723,0.6702433,0.28547925,0.31305137,15
16,0.24952573,0.7586391,1.1561965,0.7295597,0.16965258,16
17,0.2630679,0.60333115,0.88584834,0.24255136,0.26136273,17
18,0.41299567,0.75427777,1.2045681,1.5252031,0.08311522,18
19,0.09621531,0.76358783,0.7701968,0.41740608,0.21965413,19
20,0.21962112,0.7282507,1.3914001,0.6063558,0.0951941,20
21,0.17514068,0.47496825,1.4515805,2.0460777,0.17461076,21
22,0.27585137,0.5149377,0.90328914,0.6802573,0.10276216,22
23,0.33707878,0.6393949,0.53242505,0.39522088,0.17376721,23
24,0.22672854,0.856311,2.0604825,0.42992175,0.098285146,0
25,0.14037305,0.42772642,0.49955955,0.46012145,0.10964388,1
26,0.1826005,0.65479195,1.0760269,1.1200452,0.31969103,2
27,0.14222474,0.8574708,0.7521554,0.42309245,0.19944352,3
28,0.06809755,0.56598413,0.9813049,0.5832741,0.16059339,4
29,0.20613249,0.28669515,1.6810784,1.0586888,0.06495972,5
30,0.4306967,0.7087795,0.6573036,0.5325714,0.08285836,6
31,0.11263246,0.7453483,1.1209139,0.44676232,0.17925295,7
