,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp,inferred habitual tendency,true habitual tendency
0,0.570574,0.38055998,0,0.29600546,0.1638133,4.1132703,2.628158,0.8144001,9.421478
1,0.39456373,0.22854728,1,0.6618459,0.7701999,3.8211153,3.9458928,0.7332705,6.0021586
2,0.5475055,0.32515073,2,0.69134384,0.5311805,6.141249,6.3490233,0.8261909,9.694816
3,0.69780225,0.85958743,3,0.4384921,0.44686937,7.464288,6.6818666,0.80673695,9.828804
4,0.49728307,0.8230572,4,0.7456151,0.82857984,2.2864287,1.449275,0.8093884,8.236394
5,0.44119757,0.43650568,5,0.6432955,0.7629619,2.9656549,3.3781796,0.7901079,3.0799472
6,0.52860475,0.9915763,6,0.13888124,0.111894965,5.868012,4.7367725,0.81237596,9.8800125
7,0.3433113,0.43674487,7,0.47960475,0.62746847,4.2848973,5.039481,0.6948364,1.6314971
8,0.2506143,0.05146849,8,0.2603989,0.29492044,5.06621,6.2344556,0.7282664,2.234395
9,0.4891332,0.8527679,9,0.69699806,0.9883594,1.9275315,2.891408,0.81791055,8.661407
10,0.5881619,0.7076398,10,0.5934901,0.7706192,3.3953507,1.6701889,0.67614996,1.9665778
11,0.6424122,0.95239735,11,0.12957557,0.10968077,3.142496,3.8255897,0.84914374,9.085549
12,0.40622962,0.29440808,12,0.4218873,0.4178881,5.018826,5.120937,0.8226944,2.7543688
13,0.35199824,0.033241212,13,0.17396027,0.13829291,5.945126,6.436542,0.74482095,4.372162
14,0.6688539,0.85150963,14,0.7439976,0.95552826,2.6607528,4.252355,0.78868985,9.831797
15,0.55702794,0.08479285,15,0.44867107,0.31447738,7.0327897,5.869341,0.82813966,7.1178393
16,0.61165017,0.7106804,16,0.6386282,0.7105226,2.0525434,2.4208736,0.7871191,5.357387
17,0.46337086,0.31903386,17,0.17153433,0.11981821,4.4801483,4.386422,0.68052465,5.0490217
18,0.69136256,0.87702805,18,0.30914158,0.47416264,4.1729703,3.5073426,0.76215917,2.7380908
19,0.74481803,0.8881186,19,0.15437423,0.13815832,4.200489,4.343092,0.75871056,4.3994355
20,0.24814433,0.13012141,20,0.5321425,0.3306871,3.330991,3.8146107,0.5148482,0.65916836
21,0.48806024,0.17197609,21,0.6481676,0.6840852,4.937745,5.452821,0.8362366,5.9696484
22,0.6217069,0.86334693,22,0.40510455,0.27974975,6.9749007,5.5696898,0.6675309,2.633338
23,0.36201373,0.3394814,23,0.6907543,0.5940466,6.4775486,5.630135,0.73894155,2.178865
24,0.41806337,0.646658,24,0.6148096,0.574182,5.818523,3.894416,0.8436549,6.879268
