,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight,inferred repetition
94,0.25963756,94,0.5928615,1.7882959,4.6589575,0.1421215
95,0.26433015,95,0.7024242,0.690986,0.533833,0.13914146
96,0.57528794,96,0.12612696,3.9233198,3.8853092,0.44041315
97,0.56355417,97,0.29145104,3.083183,2.968058,0.40761486
98,0.24270712,98,0.46673834,1.6869572,2.7135024,0.29866102
99,0.4928064,99,0.6735099,2.9699516,1.1942996,0.3055525
100,0.5955884,100,0.32604063,3.8089962,3.1959476,0.41923505
101,0.6266998,101,0.75270975,2.9459825,1.5003991,0.19995712
102,0.6480063,102,0.42503822,3.7962236,3.269565,0.25681186
103,0.574905,103,0.39256018,2.8584316,4.165948,0.28731182
104,0.25196892,104,0.70002395,1.6355965,4.2157016,0.13068616
105,0.53975624,105,0.11146806,3.9380312,3.9895728,0.44937187
106,0.809277,106,0.6406577,4.3997617,1.8849328,0.23693398
107,0.39974228,107,0.61408633,2.6908174,4.8404207,0.35544056
108,0.5453273,108,0.23440348,3.6901722,3.1145904,0.36996964
109,0.23663107,109,0.7665947,1.526495,3.3996313,0.11313289
110,0.6237114,110,0.1013609,4.107864,3.7469895,0.47426838
111,0.18768686,111,0.36201495,1.9469094,2.5052102,0.14532775
112,0.243192,112,0.30404386,1.7455645,4.235591,0.13961029
113,0.60857105,113,0.7957435,2.6679318,1.8084477,0.23916821
114,0.7369894,114,0.38329044,4.035954,2.255707,0.5022852
115,0.7520848,115,0.554141,4.1620007,1.8858135,0.18267643
116,0.33027676,116,0.71063584,1.2407037,0.88550466,0.20073016
117,0.32148412,117,0.25927684,2.538058,1.0422685,0.31248108
118,0.6141765,118,0.73716676,3.261815,1.5680097,0.3460095
119,0.30512553,119,0.7614331,1.7988076,4.1318192,0.1332645
120,0.53364956,120,0.12206081,3.7696342,3.8113613,0.4358976
121,0.2378845,121,0.7516045,1.4547503,2.7929225,0.13287242
122,0.30168733,122,0.73732567,1.2763096,0.89293814,0.17667869
123,0.33777118,123,0.45984125,2.2970684,5.0764337,0.41827783
124,0.57083225,124,0.117404185,4.0513196,4.002834,0.43458053
125,0.28328308,125,0.61437035,1.4178516,1.4736358,0.15011053
126,0.57809013,126,0.30067897,1.5728099,1.0001351,0.31399512
127,0.7012926,127,0.8176378,2.9318435,1.1736052,0.19702297
128,0.59469074,128,0.10568067,3.8459914,3.6316438,0.48444483
129,0.7840082,129,0.6596166,4.0714192,2.1653059,0.17314444
130,0.25646344,130,0.65743816,0.7928352,0.570829,0.11573558
131,0.26571202,131,0.65139884,1.4673567,2.1749592,0.19092152
132,0.43570763,132,0.74541587,2.2709033,1.3357451,0.4976516
133,0.48177716,133,0.16511017,3.3345919,3.7723815,0.42617193
134,0.23675352,134,0.15292819,2.5654848,4.4133263,0.3526396
135,0.42933095,135,0.6640857,2.60081,2.8368902,0.32884592
136,0.44197997,136,0.7446413,2.2661667,2.7286615,0.15740882
137,0.4926683,137,0.31795606,3.285938,4.103816,0.3992132
