,rewarded,common,stayed,valid
0,rewarded,common,0,True
1,rewarded,rare,1,True
2,rewarded,common,1,True
3,rewarded,common,1,True
4,unrewarded,rare,1,True
5,unrewarded,rare,1,True
6,unrewarded,common,1,True
7,rewarded,common,1,True
8,rewarded,common,1,True
9,unrewarded,common,1,True
10,rewarded,common,0,True
11,rewarded,common,1,True
12,rewarded,rare,1,True
13,rewarded,common,0,True
14,rewarded,rare,1,True
15,unrewarded,common,1,True
16,rewarded,common,0,True
17,unrewarded,common,1,True
18,rewarded,common,0,True
19,rewarded,common,1,True
20,rewarded,common,1,True
21,rewarded,common,1,True
22,rewarded,common,1,True
23,rewarded,common,1,True
24,rewarded,rare,1,True
25,rewarded,common,1,True
26,rewarded,rare,1,True
27,unrewarded,rare,1,True
28,unrewarded,rare,1,True
29,rewarded,common,1,True
30,rewarded,common,1,True
31,rewarded,common,1,True
32,rewarded,common,1,True
33,rewarded,common,1,True
34,unrewarded,common,1,True
35,unrewarded,rare,0,True
36,unrewarded,common,1,True
37,rewarded,common,0,True
38,unrewarded,rare,1,True
39,rewarded,common,1,True
40,unrewarded,rare,1,True
41,unrewarded,rare,1,True
42,unrewarded,rare,1,True
43,rewarded,common,1,True
44,unrewarded,rare,1,True
45,rewarded,rare,0,True
46,unrewarded,common,1,True
47,unrewarded,rare,0,True
48,unrewarded,common,1,True
49,unrewarded,common,1,True
50,unrewarded,common,0,True
51,rewarded,common,1,True
52,rewarded,rare,1,True
53,unrewarded,rare,0,True
54,unrewarded,common,1,True
55,unrewarded,rare,1,True
56,unrewarded,rare,1,True
57,rewarded,rare,0,True
58,rewarded,rare,1,True
59,unrewarded,rare,1,True
60,rewarded,common,1,True
61,rewarded,common,0,True
62,unrewarded,common,1,True
63,unrewarded,common,0,True
64,unrewarded,common,1,True
65,rewarded,common,0,True
66,rewarded,common,1,True
67,unrewarded,rare,1,True
68,rewarded,common,1,True
69,rewarded,common,1,True
70,rewarded,common,1,True
71,rewarded,common,1,True
72,rewarded,common,1,True
73,rewarded,common,1,True
74,rewarded,rare,1,True
75,rewarded,common,1,True
76,unrewarded,rare,1,True
77,rewarded,rare,1,True
78,unrewarded,rare,1,True
79,rewarded,common,1,True
80,rewarded,common,1,True
81,rewarded,common,1,True
82,unrewarded,common,0,True
83,unrewarded,common,0,True
84,rewarded,common,1,True
85,rewarded,common,1,True
86,unrewarded,rare,1,True
87,rewarded,common,1,True
88,rewarded,common,1,True
89,rewarded,common,1,True
90,unrewarded,rare,1,True
91,unrewarded,rare,1,True
92,unrewarded,rare,1,True
93,rewarded,common,1,True
94,rewarded,rare,1,True
95,unrewarded,rare,1,True
96,unrewarded,rare,1,True
97,rewarded,common,1,True
98,rewarded,common,1,True
99,rewarded,rare,1,True
100,rewarded,rare,1,True
101,rewarded,rare,1,True
102,unrewarded,rare,1,True
103,unrewarded,common,1,True
104,rewarded,common,1,True
105,rewarded,common,1,True
106,rewarded,common,1,True
107,unrewarded,rare,1,True
108,rewarded,common,1,True
109,rewarded,common,1,True
110,unrewarded,common,1,True
111,rewarded,rare,1,True
112,unrewarded,common,0,True
113,unrewarded,rare,0,True
114,unrewarded,rare,1,True
115,rewarded,rare,1,True
116,rewarded,rare,1,True
117,unrewarded,common,1,True
118,unrewarded,rare,1,True
119,unrewarded,common,1,True
120,unrewarded,common,1,True
121,rewarded,common,0,True
122,rewarded,rare,1,True
123,unrewarded,common,0,True
124,rewarded,common,1,True
125,rewarded,common,1,True
126,unrewarded,common,0,True
127,rewarded,rare,0,True
128,unrewarded,common,1,True
129,unrewarded,rare,1,True
