,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight,inferred repetition
0,0.48588803,0,0.5081399,3.0718331,2.9619522,0.4915085
1,0.50053,1,0.5093143,3.0044332,2.9574757,0.49477544
2,0.48143175,2,0.50069505,3.0236003,3.006682,0.48911408
3,0.4911111,3,0.51261127,3.0881515,2.945422,0.47868678
4,0.50477487,4,0.519364,2.9590976,2.9711947,0.49241403
5,0.502827,5,0.50391996,2.9878335,3.0018752,0.4943526
6,0.49198204,6,0.4991035,2.915296,2.9044802,0.5034618
7,0.49397045,7,0.5152383,2.997524,2.931168,0.495176
8,0.4899663,8,0.5067864,3.014612,3.0070937,0.50145924
9,0.4910016,9,0.5026263,2.9585798,2.9630396,0.49841353
10,0.5039322,10,0.5065469,3.0168183,2.9906163,0.49116313
11,0.4873745,11,0.50952643,2.9935243,3.0963097,0.49288347
12,0.48989248,12,0.5105606,2.9735773,3.0490053,0.49191236
13,0.49508524,13,0.49519575,2.9130375,2.9332912,0.50264674
14,0.50756896,14,0.50865775,2.984616,2.9977133,0.50166255
15,0.497479,15,0.5178733,2.9510474,3.0229573,0.49622405
16,0.51148975,16,0.5089117,3.058418,3.0485694,0.49671605
17,0.49911666,17,0.5095582,3.0519922,2.988393,0.48606452
18,0.5036766,18,0.50977135,2.8856993,3.0590537,0.501528
19,0.50138104,19,0.49710283,2.9677641,2.9113803,0.49424976
20,0.48573273,20,0.50312436,3.0587206,2.9488726,0.49387163
21,0.4755891,21,0.5032808,2.9927726,2.8910925,0.4743582
22,0.4870386,22,0.50417763,3.0008209,2.9724271,0.47758162
23,0.49195465,23,0.4932597,3.0591161,2.8760552,0.50634813
24,0.5009091,24,0.51830393,2.9623024,2.9408495,0.50093985
25,0.49697345,25,0.51013166,2.9537978,2.834871,0.5071066
26,0.4878683,26,0.51972854,2.9675136,2.972152,0.48297766
27,0.49555668,27,0.48868924,2.9835458,3.0477746,0.49418074
28,0.48658618,28,0.49898732,2.8734672,3.0258424,0.4977389
29,0.4829142,29,0.49552992,2.944286,3.053765,0.4787406
30,0.49834475,30,0.5096387,2.9302092,2.9169722,0.49279127
31,0.4910297,31,0.49924132,2.9463544,2.9649522,0.49828118
32,0.50114495,32,0.50540686,2.914095,3.0097513,0.50697076
33,0.5062697,33,0.5007208,3.0723975,2.9927847,0.5082545
34,0.48606676,34,0.5078682,2.9816375,2.9604797,0.49287754
35,0.48589128,35,0.51381725,2.9901533,2.9609714,0.5063743
36,0.49327928,36,0.5133927,2.9604864,2.9584942,0.49570706
37,0.4977188,37,0.502145,2.9784067,2.9562504,0.51414746
38,0.5021923,38,0.5139776,2.9725132,2.9326997,0.48519588
39,0.4968755,39,0.49389845,2.9832933,2.962395,0.4973905
40,0.4993056,40,0.4987804,2.978624,2.987446,0.50139034
41,0.49676165,41,0.50011873,2.9709058,2.842876,0.4906839
42,0.5079184,42,0.49057844,2.9204824,2.9542031,0.50365454
43,0.50985193,43,0.5059163,3.088584,3.019855,0.50025773
44,0.50116116,44,0.49569583,3.0341077,2.9396572,0.4907088
45,0.4971622,45,0.50748664,3.0391953,2.972463,0.4948333
46,0.483682,46,0.5231102,2.9229252,2.9879956,0.49867573
47,0.49515012,47,0.5086402,3.0341964,2.9462328,0.49903545
48,0.49050835,48,0.5122756,2.9274511,2.9964986,0.49885842
49,0.49139056,49,0.5028682,2.8480835,2.9311469,0.5003142
50,0.5014017,50,0.50974303,3.0348496,2.9587576,0.5010958
51,0.4979108,51,0.49719024,2.9619503,2.9412613,0.4959349
52,0.5037766,52,0.49963513,2.9801295,2.9836469,0.5060761
53,0.51004803,53,0.5004695,2.9907234,3.0139692,0.5005363
54,0.5067914,54,0.508236,2.9997382,2.9621673,0.5078751
55,0.4966543,55,0.50840104,2.933583,2.979852,0.5226246
56,0.5051753,56,0.5091885,2.9749193,2.9888268,0.497868
57,0.5051067,57,0.50060016,2.9841518,2.9501362,0.4962524
58,0.4976085,58,0.49546006,2.9269698,3.0461974,0.4923286
59,0.50395423,59,0.5219523,3.0200434,2.9990375,0.50266623
60,0.50521904,60,0.51388806,2.9826646,2.9101405,0.47939333
61,0.50863343,61,0.4973246,2.8857207,2.9720335,0.51679796
62,0.493734,62,0.5020071,3.142252,2.8519163,0.49957025
63,0.5073712,63,0.50594974,2.92597,3.0496452,0.49160266
64,0.49679562,64,0.50685096,3.0369525,2.9560244,0.5036332
65,0.5021824,65,0.49951914,2.7926874,2.9755616,0.49592155
66,0.5052284,66,0.50736535,2.9965014,2.9757988,0.50040776
67,0.4900268,67,0.4973019,2.981732,2.8915298,0.49265268
68,0.50966644,68,0.5094729,2.9701388,3.024399,0.48051068
69,0.5065049,69,0.50697017,2.9629576,2.9783208,0.50320303
70,0.4825952,70,0.49785197,2.9710531,3.0005045,0.47589973
71,0.49055862,71,0.5157967,2.9368365,2.9981477,0.4940154
72,0.50279665,72,0.49922007,2.9957297,2.9142828,0.4802663
73,0.5029098,73,0.49713624,2.963041,2.9518213,0.49661553
74,0.50327533,74,0.5048966,2.9169214,3.0898745,0.5027403
75,0.5001972,75,0.51302963,2.9713697,2.9958286,0.49699384
76,0.49052867,76,0.50355005,2.8931704,2.9677126,0.50484747
77,0.50587887,77,0.51646876,2.9549165,3.0143554,0.49027416
78,0.47622684,78,0.50281733,2.9153385,2.8774927,0.48460945
79,0.5165564,79,0.50853974,2.9248998,3.047996,0.5083408
80,0.50490385,80,0.5072074,3.0370507,2.9738245,0.5036649
81,0.5038591,81,0.508074,2.9774497,2.9303775,0.47997284
82,0.49734402,82,0.5015335,2.8865488,2.9307187,0.5047019
83,0.4935552,83,0.5081146,3.0738056,3.0924258,0.49069422
84,0.5033716,84,0.50334615,2.9780195,2.9547608,0.49301663
85,0.4800436,85,0.50208384,3.0154517,2.8622196,0.48777625
86,0.50153273,86,0.51651514,2.9856405,2.9404185,0.49540332
87,0.5010584,87,0.50247383,2.9640598,2.8636205,0.48534104
88,0.49569166,88,0.5188142,2.9692438,3.0021827,0.4815062
89,0.48851964,89,0.5012197,2.9866786,2.987211,0.5060226
90,0.497205,90,0.5158915,3.0114577,3.0678043,0.4974578
91,0.49703306,91,0.49471566,3.064609,2.9047694,0.49331266
92,0.4866644,92,0.49254695,3.0759919,3.0051415,0.49709645
93,0.5060973,93,0.5067453,2.867847,3.0161495,0.49498084
94,0.49327582,94,0.51645726,2.9549491,2.9827974,0.49414393
95,0.4856967,95,0.5015054,3.0401947,2.9656515,0.49630785
96,0.49963054,96,0.50016874,2.9690697,2.9943233,0.4903515
97,0.5117265,97,0.5055473,2.9417477,2.976912,0.50014627
98,0.48208898,98,0.51193,2.979035,2.924999,0.49769098
99,0.4901091,99,0.5090631,2.97059,3.0279763,0.493262
100,0.5064356,100,0.49972442,2.9662728,2.885937,0.49593383
101,0.49494293,101,0.4967488,2.866162,2.8852322,0.5068555
102,0.48540458,102,0.5132843,2.8660862,3.009136,0.4973999
103,0.4996439,103,0.49909613,3.03923,3.0888398,0.4983531
104,0.5126967,104,0.5020238,2.8894892,2.8926616,0.49135154
105,0.49135193,105,0.50092983,2.9244943,2.8173432,0.50317943
106,0.47241735,106,0.4861847,2.9595394,3.0795097,0.49815008
107,0.48915377,107,0.50537705,2.9075022,2.919039,0.49639466
108,0.50562954,108,0.50275224,2.9359994,3.0440228,0.4850835
109,0.48144495,109,0.49909362,3.0922687,2.959461,0.48218778
110,0.50128955,110,0.48497808,3.0163076,2.9157887,0.4939174
111,0.47962686,111,0.513327,2.993747,3.0492148,0.48841083
112,0.5002965,112,0.5039467,2.8150063,2.8776274,0.49995476
113,0.49778792,113,0.50376624,2.984405,3.0107684,0.48456347
114,0.49060372,114,0.5032614,3.0421014,3.0476913,0.50207675
115,0.5156039,115,0.5000762,2.9040034,3.037068,0.4878716
116,0.49072212,116,0.5018085,2.9469635,3.050326,0.49700892
117,0.49681288,117,0.49598634,2.9760735,3.0048769,0.4971062
118,0.48100328,118,0.51570046,3.01319,2.9350228,0.48813856
119,0.49494419,119,0.51102126,2.953568,2.9084618,0.49530998
120,0.50593615,120,0.51126015,3.0443301,3.027389,0.49845898
121,0.4986618,121,0.49840423,2.915622,2.981772,0.49532586
122,0.4651324,122,0.5316884,2.930941,2.889423,0.49791268
123,0.48847163,123,0.4935623,2.9417741,3.0652807,0.5185454
124,0.49225768,124,0.5004349,3.070941,2.933039,0.49488756
125,0.47772655,125,0.5056116,2.9333653,2.943523,0.50327736
