,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred mf weight,true mf weight,inferred mb weight,true mb weight
0,0.60340977,0.6410488,0,0.58509356,0.58399266,2.6537914,3.2902987,4.071689,5.366233
1,0.65134877,0.8263866,1,0.3518261,0.32045573,2.3427281,1.184869,3.52227,3.7121594
2,0.5425859,0.39379627,2,0.24849121,0.22845888,3.2139342,3.5954294,4.143594,3.193728
3,0.21653838,0.06953454,3,0.4083147,0.41506344,1.9780208,3.7782817,3.5244555,3.468882
4,0.19216241,0.106399715,4,0.2723286,0.27382278,1.999029,3.1987605,4.8373938,4.837268
5,0.69483477,0.7409941,5,0.17369041,0.13919377,1.2443569,0.6707014,0.5809722,1.080834
6,0.61132824,0.13092268,6,0.100770876,0.01537472,4.0432954,2.886355,4.0536,0.5765945
7,0.40718615,0.20679069,7,0.66991633,0.6895212,2.8481524,5.08037,3.6187549,4.044692
8,0.831139,0.85220003,8,0.7451044,0.6781074,4.05334,4.0762033,1.1704768,0.2689923
9,0.3223749,0.17919481,9,0.68746704,0.8367759,2.4838202,5.0932474,1.1316156,1.3768784
10,0.47261676,0.25713593,10,0.57079923,0.5573937,2.9004424,4.2207775,1.6483662,1.0706999
11,0.6787158,0.4890436,11,0.7779844,0.82658523,2.991905,4.50718,1.1424949,1.3238161
12,0.716327,0.75484806,12,0.79838794,0.84211445,2.4341354,2.7075756,0.97328264,0.5591433
13,0.23091409,0.04086256,13,0.7758337,0.98049706,1.4950881,4.2487764,0.84685653,0.04073596
14,0.269742,0.0105654,14,0.7627113,0.77417094,1.6113284,0.744691,4.0357018,4.754095
15,0.3430901,0.8401337,15,0.8341132,0.995173,1.4541372,1.3190682,3.1286924,3.6355004
16,0.16180703,0.21500075,16,0.09546167,0.05694878,2.000945,0.25627792,3.5654886,2.6897407
17,0.54079026,0.6422863,17,0.80117273,0.97737503,2.6427732,2.9761147,2.0012586,3.5355415
18,0.1822147,0.05160469,18,0.44169176,0.3873303,1.492215,0.75986123,1.6123557,1.8743752
19,0.6304157,0.5920608,19,0.63269824,0.58078855,3.0158072,2.5492072,1.8727717,2.5810232
20,0.29681703,0.15519887,20,0.4001144,0.444202,2.6974928,5.27149,3.7609146,2.8143673
21,0.33460328,0.68054724,21,0.48868653,0.43052864,2.666296,0.7828964,3.802725,4.3107376
22,0.6158586,0.59475297,22,0.16643542,0.15068495,3.918924,4.6088953,3.37959,2.3863857
23,0.7778568,0.7963252,23,0.4421757,0.4825197,4.4521637,5.5686154,1.9726343,1.8544117
24,0.23051077,0.19661224,24,0.4149089,0.393754,3.6218574,3.8634002,1.1388438,1.6475476
25,0.7085536,0.6636351,25,0.5688331,0.575442,3.9868102,5.0589557,4.3687344,4.7785335
26,0.42236936,0.195826,26,0.076531135,0.035959125,3.4631102,2.0337563,4.257497,5.3810716
27,0.49473652,0.32189524,27,0.7680734,0.87413985,3.0315113,5.4042826,2.0828383,3.7207565
28,0.3482659,0.20919418,28,0.68224216,0.783902,2.0803823,2.938243,4.4051027,3.911042
29,0.7240611,0.7201974,29,0.38911152,0.31644422,4.0423584,2.6970062,2.8948247,1.4969187
30,0.64713645,0.6850283,30,0.26219335,0.23453611,3.6355982,5.188215,2.6119525,0.6321144
