,discount,learning rate,mf weight,mb weight,subject,true discount,inferred discount,true learning rate,inferred learning rate,true mf weight,inferred mf weight,true mb weight,inferred mb weight
19254,0.5325367,0.65233785,2.0750031,5.242367,4,0.5636237,0.3992468,0.5915639,0.59961,1.1047064,2.4198163,5.057411,4.69016
19255,0.1300804,0.22898613,1.0549642,1.7557018,5,0.08224088,0.13952766,0.2007947,0.2395579,0.3191929,1.0988104,1.8089586,1.8138667
19256,0.8653516,0.8312021,5.131358,1.2972103,6,0.6974948,0.81844556,0.7855255,0.7395788,5.360653,4.5570693,2.7254667,1.4402468
19257,0.055053145,0.13790432,0.5606837,1.3215756,7,0.010758042,0.06142054,0.15983975,0.19501643,4.6170077,1.9639388,0.893319,1.4054686
19258,0.1640653,0.67902786,5.2493787,5.5737395,8,0.2935878,0.29167584,0.5445034,0.54802674,3.1822925,2.8042734,5.1143513,4.9681425
19259,0.3131111,0.089477986,3.822699,1.0341226,9,0.5453103,0.53567386,0.13225424,0.11366851,5.209705,3.6818197,2.3316028,3.6639912
19260,0.59787476,0.6025173,2.9662142,4.8545275,10,0.46085912,0.5212114,0.64375603,0.65076756,3.4229932,2.891805,5.552685,4.52674
19261,0.6331409,0.08345221,4.327471,1.3162048,11,0.5410338,0.5558396,0.043361664,0.08683964,5.8079586,3.8212252,2.8920698,3.7385259
19262,0.38531145,0.34271237,1.3939146,3.1051462,12,0.2832759,0.37024975,0.5831162,0.62677324,4.439723,2.9542732,0.9243032,2.852126
19263,0.057073835,0.24694096,3.8895187,2.9844873,13,0.04219389,0.10975407,0.24903256,0.23113458,5.5317655,2.3671308,2.523285,2.7209346
19264,0.4516587,0.4051825,0.4719312,2.3036377,14,0.1154325,0.22279115,0.5955821,0.62386173,0.95203936,1.580993,2.8950095,3.1280167
19265,0.2471046,0.8598236,0.640996,0.869516,15,0.055960655,0.23120044,0.9656323,0.75285155,0.64943147,0.78305346,1.2614079,1.0170022
19266,0.81465524,0.82554525,1.3964921,0.8909209,16,0.98046404,0.5577659,0.75334513,0.7519464,0.7787311,1.463625,1.4876801,1.1591189
19267,0.8633981,0.7014958,4.574675,0.4742579,17,0.53191257,0.7663086,0.7061634,0.7074854,5.435806,4.427908,1.4676597,2.0491323
19268,0.901687,0.54021007,3.9224057,3.02705,18,0.74617314,0.719298,0.5468628,0.5116099,4.5158668,4.344051,4.8820777,2.8619742
19269,0.3502891,0.11734806,4.8970284,4.8440228,19,0.65906227,0.53321177,0.10355556,0.11746788,2.9790888,3.8779254,1.6721281,3.6108873
19270,0.15131989,0.30648538,0.49209085,4.665286,20,0.1317761,0.22927292,0.3572244,0.39320076,0.51346743,1.7958107,4.579872,4.7659435
19271,0.054946464,0.7680101,2.6518602,3.930282,21,0.18148541,0.23032472,0.72801006,0.683286,3.9245682,2.0146391,3.0931678,3.3861785
19272,0.2952534,0.107333854,2.2775958,4.3012867,22,0.73351324,0.35144067,0.14316458,0.121879995,1.5965724,2.629053,5.654798,4.169049
19273,0.69024885,0.68744826,5.1381044,5.684868,23,0.6785201,0.63063806,0.5490863,0.528569,3.822877,3.3756907,5.6972275,4.726464
19274,0.25422135,0.5180604,4.519912,1.7587813,24,0.33290517,0.36873353,0.5827464,0.60328525,4.74405,4.2174754,1.7128347,0.9100662
19275,0.32586816,0.78541607,1.5863432,5.498936,25,0.32370323,0.28992945,0.76958376,0.7751212,0.45333695,1.6192365,5.1483293,5.3674197
19276,0.6280189,0.52983606,3.8895035,5.577731,26,0.3787797,0.5156165,0.42750794,0.39768544,3.6476984,2.4459658,5.7759023,4.7648253
19277,0.35530886,0.43742302,1.1352403,0.8067089,27,0.33786625,0.34111172,0.5738422,0.53973895,1.8184544,1.9689229,1.0659735,1.3098323
19278,0.5909936,0.04283398,4.2342634,3.642005,28,0.6622398,0.5220581,0.07255471,0.07478657,3.6662445,3.670275,4.6678104,3.8039548
19279,0.7115805,0.084605746,2.2923193,5.1561236,29,0.6026847,0.56093585,0.013551712,0.09355707,4.815852,3.96535,4.093859,3.6795325
19280,0.20082657,0.28675333,2.9263628,1.4283898,30,0.20085877,0.20793112,0.31683046,0.29709056,3.5731754,3.2155473,1.0855039,0.9502516
19281,0.4767685,0.9185391,2.3587856,3.8026896,31,0.28801745,0.45608398,0.83391553,0.816736,2.5248003,2.2063322,3.813152,2.9531515
19282,0.43327054,0.050397,2.3686972,2.7969542,32,0.98874456,0.5641695,0.061059773,0.07380605,2.2658393,3.9770267,3.0043058,3.63191
19283,0.79670906,0.4364722,2.1476703,4.7595997,33,0.63672537,0.57036585,0.40588617,0.42274216,2.7018304,3.2844858,5.830438,4.973302
