,discount,learning rate,mf weight,mb weight,subject,true discount,inferred discount,true learning rate,inferred learning rate,true mf weight,inferred mf weight,true mb weight,inferred mb weight
0,0.86788803,0.54464227,3.721362,0.7751517,0,0.92978925,0.7888363,0.72846437,0.6063291,5.8300567,4.2534328,2.053999,2.2768588
1,0.35029328,0.83162856,1.2170844,1.3356447,1,0.10158658,0.21190464,0.8516699,0.7357322,1.6539434,1.2322227,0.82444847,0.9753982
2,0.38277364,0.27758977,1.2798542,2.9039721,2,0.5100246,0.3517163,0.3487808,0.41774732,1.0886478,3.092261,3.8731656,4.345502
3,0.56429595,0.53487355,2.0314617,2.9721851,3,0.20072603,0.42869738,0.4966032,0.5558453,5.106858,3.2292657,1.2571095,2.2934952
4,0.31852803,0.6929897,3.7941349,5.1019807,4,0.5636237,0.38171637,0.5915639,0.5962363,1.1047064,2.4798496,5.057411,4.5194435
5,0.11132422,0.2200396,1.5648639,1.3865529,5,0.08224088,0.18354098,0.2007947,0.28064558,0.3191929,1.4508389,1.8089586,1.8418479
6,0.8488143,0.76911676,4.604201,3.553337,6,0.6974948,0.8014625,0.7855255,0.71028525,5.360653,4.0512233,2.7254667,1.4987684
7,0.104611374,0.30459124,2.1036286,1.8137646,7,0.010758042,0.15678015,0.15983975,0.29643196,4.6170077,1.9157319,0.893319,1.8998357
8,0.37083498,0.6773898,3.9925253,5.0357256,8,0.2935878,0.3307855,0.5445034,0.5608171,3.1822925,2.711723,5.1143513,4.904323
9,0.82135373,0.07475804,4.9806237,2.6532373,9,0.5453103,0.5842952,0.13225424,0.13756171,5.209705,3.9812143,2.3316028,3.9786868
10,0.2695423,0.70610887,3.703701,4.0120296,10,0.46085912,0.5116493,0.64375603,0.6444635,3.4229932,2.8072317,5.552685,4.3666596
11,0.5340204,0.07531515,3.4990876,3.109673,11,0.5410338,0.60945946,0.043361664,0.11979303,5.8079586,4.0712047,2.8920698,4.072281
12,0.65961605,0.5697842,0.8412924,1.5750365,12,0.2832759,0.4002738,0.5831162,0.6223772,4.439723,2.7441247,0.9243032,2.8338387
13,0.19549687,0.33245373,2.012001,4.116681,13,0.04219389,0.14607182,0.24903256,0.22941786,5.5317655,1.9510654,2.523285,2.957568
14,0.41644508,0.6132269,0.40529996,2.757183,14,0.1154325,0.25386426,0.5955821,0.635774,0.95203936,1.8042073,2.8950095,2.9198804
15,0.30063897,0.7091756,1.1467544,0.6253733,15,0.055960655,0.24389869,0.9656323,0.7263178,0.64943147,1.0322373,1.2614079,0.9521877
16,0.4111214,0.6746343,1.6183745,0.7598517,16,0.98046404,0.46694136,0.75334513,0.7243027,0.7787311,1.5691841,1.4876801,1.2132515
17,0.9286414,0.8335713,5.1127186,1.4643682,17,0.53191257,0.7651188,0.7061634,0.6867466,5.435806,4.0341578,1.4676597,2.0359046
18,0.6599182,0.5362226,5.436625,3.2959366,18,0.74617314,0.7355528,0.5468628,0.508031,4.5158668,4.1550226,4.8820777,2.9371011
19,0.34049773,0.08718832,4.3398867,4.1632075,19,0.65906227,0.6076022,0.10355556,0.13973562,2.9790888,3.9722826,1.6721281,4.2030153
20,0.22362226,0.45903727,1.313037,5.0679398,20,0.1317761,0.2719153,0.3572244,0.42075452,0.51346743,2.0041528,4.579872,4.709755
21,0.23715252,0.7104834,2.5537133,4.0712767,21,0.18148541,0.26729438,0.72801006,0.67919534,3.9245682,1.9526026,3.0931678,3.334336
22,0.30582002,0.12724552,3.6021733,3.047946,22,0.73351324,0.4035293,0.14316458,0.14638498,1.5965724,3.195463,5.654798,4.480903
23,0.8470222,0.5336087,2.5721931,5.3090134,23,0.6785201,0.6122152,0.5490863,0.5286038,3.822877,3.3963387,5.6972275,4.5297256
24,0.57338846,0.46934244,2.4574237,1.1149122,24,0.33290517,0.43978742,0.5827464,0.6065074,4.74405,3.7276618,1.7128347,1.1497205
25,0.44664294,0.81417036,1.6952615,5.5974674,25,0.32370323,0.2961695,0.76958376,0.7386791,0.45333695,1.7300525,5.1483293,5.02774
26,0.2535016,0.46443483,4.56353,5.3452635,26,0.3787797,0.4965359,0.42750794,0.3996953,3.6476984,2.6299725,5.7759023,4.6940036
27,0.3178526,0.6897064,1.4932382,2.4389384,27,0.33786625,0.3430595,0.5738422,0.57838726,1.8184544,2.0923076,1.0659735,1.3585268
28,0.642036,0.084791265,4.300993,4.728217,28,0.6622398,0.5907232,0.07255471,0.11184091,3.6662445,4.034604,4.6678104,4.1879272
29,0.9001699,0.086680226,5.1385593,2.0000577,29,0.6026847,0.62463045,0.013551712,0.1170835,4.815852,4.1242743,4.093859,4.228273
30,0.28151903,0.2712097,2.174498,1.1781237,30,0.20085877,0.24340409,0.31683046,0.3008242,3.5731754,2.8519022,1.0855039,1.1709946
31,0.29356465,0.89201283,3.466486,2.404307,31,0.28801745,0.42173827,0.83391553,0.75003797,2.5248003,2.0716524,3.813152,2.5887654
32,0.9409837,0.1005476,4.248445,4.401636,32,0.98874456,0.61236966,0.061059773,0.10548976,2.2658393,4.101828,3.0043058,4.234101
33,0.26811713,0.4060091,4.2893806,4.206769,33,0.63672537,0.57404095,0.40588617,0.42213657,2.7018304,3.359543,5.830438,4.8058643
34,0.21248707,0.48167682,4.525225,4.299369,34,0.3341614,0.41442993,0.48286033,0.46484008,2.835773,2.8795054,3.9866977,4.276617
35,0.069651306,0.7727036,4.840919,2.4048388,35,0.41077733,0.36804017,0.65266,0.70077306,1.919069,2.2524097,3.3615708,3.5078647
36,0.7992071,0.702338,2.9725876,4.868588,36,0.733877,0.6542641,0.74258584,0.70019776,4.926414,3.7642043,5.643794,2.9529269
37,0.22241664,0.77779394,2.4459915,2.5756245,37,0.30139792,0.24021737,0.6694874,0.68058646,1.3996736,1.5655996,2.4276152,2.6911697
38,0.24669126,0.5376079,2.5108347,2.0147889,38,0.7226378,0.35046512,0.39211148,0.4713454,0.4595307,1.5325187,2.1772208,2.3829057
39,0.86454904,0.8567586,0.8006433,0.8202333,39,0.5337058,0.2651638,0.5798341,0.6614619,0.24203753,0.6910488,0.34667838,0.5934991
40,0.25751016,0.46663418,3.1088266,5.4970484,40,0.068210185,0.2535806,0.40949064,0.38789088,5.263585,2.1242104,5.10722,5.072191
41,0.4768946,0.85460013,4.5411005,1.775727,41,0.5762577,0.65047705,0.7048342,0.6330698,3.3352942,2.4411907,0.37677133,1.5943631
42,0.29680863,0.7386488,4.335807,4.4385433,42,0.3977363,0.45628902,0.586761,0.6211363,2.9976969,2.7782617,3.272117,3.7526689
43,0.4471497,0.14931838,3.56386,5.4921002,43,0.45615906,0.6294703,0.04345858,0.10986438,5.4495735,4.04431,4.153381,4.070158
44,0.6667341,0.7809134,1.4858761,1.1217178,44,0.5961824,0.5866729,0.986593,0.7684934,3.0212722,2.4063182,1.872198,1.3270726
45,0.7979883,0.74449354,4.5696807,2.2235377,45,0.90195507,0.74705654,0.65988433,0.6910609,3.8244696,4.127822,0.20849097,1.9328163
46,0.32854414,0.12870935,2.2097905,5.3097467,46,0.124061644,0.4053587,0.10732764,0.14783405,4.0994177,3.3822787,0.005280733,3.3190088
47,0.10738874,0.71116006,2.1499872,0.690604,47,0.06435162,0.22917421,0.860598,0.733646,1.0809935,1.2539488,0.55274,0.99859536
48,0.7276468,0.7072713,1.046962,2.9332373,48,0.22109681,0.48690367,0.89868003,0.6883637,5.815591,2.6224248,2.117046,1.555674
49,0.4966938,0.20751485,4.43452,1.6806831,49,0.9583124,0.64702404,0.31414592,0.24314217,5.165711,3.8036418,4.4634795,3.0671918
50,0.6316795,0.559502,4.520187,0.47519186,0,0.92978925,0.7888363,0.72846437,0.6063291,5.8300567,4.2534328,2.053999,2.2768588
