,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp,inferred habitual tendency,true habitual tendency
0,0.463995,0.91847014,0,0.7957754,0.9552379,2.0836704,4.2860785,0.4598444,0.29427958
1,0.21742126,0.31300467,1,0.6707687,0.6098191,2.098508,1.920287,0.6862353,0.81777847
2,0.74430496,0.99764866,2,0.77178055,0.89536214,3.0106134,5.1959143,0.44191566,0.4818864
3,0.61038023,0.6342231,3,0.08196271,0.082288206,5.209331,6.165026,0.20578,0.008410037
4,0.671716,0.71021795,4,0.07638107,0.07686281,6.6969914,6.877536,0.7319047,0.98139274
5,0.14551882,0.07911432,5,0.36555016,0.2869966,2.9090264,2.2852824,0.46277896,0.46343035
6,0.51490337,0.45887256,6,0.49123424,0.46962154,5.74884,5.4264107,0.1882539,0.04378152
7,0.47885492,0.33222693,7,0.26270106,0.24494135,5.67859,6.2459493,0.26151055,0.17372257
8,0.35200816,0.0021529794,8,0.5283645,0.10795921,2.574316,1.9142674,0.19555143,0.3933847
9,0.23915403,0.091863334,9,0.6695647,0.612765,3.6936486,2.7783604,0.29925105,0.4139912
10,0.3141073,0.33394778,10,0.66556054,0.4812165,3.0528164,1.2685503,0.71946806,0.6439641
11,0.5075607,0.61767316,11,0.28235134,0.24841678,3.929919,3.3539028,0.7238384,0.9757966
12,0.4356544,0.54163873,12,0.0522307,0.042494893,3.131815,4.5642147,0.15827452,0.07206768
13,0.28948998,0.18186444,13,0.519489,0.5299682,5.8810086,6.998261,0.40494683,0.55629736
14,0.54497665,0.39401662,14,0.044380073,0.044861257,5.127749,5.0263124,0.25186387,0.4409163
15,0.47049153,0.24634945,15,0.5784269,0.4501751,4.67211,5.2232146,0.4463562,0.16826367
16,0.17345367,0.13751495,16,0.34500027,0.1747762,5.2015705,3.5817385,0.7919268,0.9560126
17,0.29652154,0.1810925,17,0.13747089,0.16624665,3.2042878,1.8566464,0.7613715,0.6857424
18,0.20387319,0.17724884,18,0.41492516,0.55598396,3.0858269,4.9526606,0.6856093,0.8199201
19,0.6473137,0.63883495,19,0.7593237,0.8789828,1.903969,1.7995515,0.5177311,0.48650247
20,0.5292582,0.38956904,20,0.3854345,0.15951514,4.703621,3.3897977,0.4291164,0.5891137
21,0.5295331,0.5604639,21,0.5945188,0.6047346,2.1624014,2.225052,0.35572723,0.6091687
22,0.47926155,0.92534417,22,0.2078009,0.30052495,5.4189796,5.6924562,0.43408462,0.914255
23,0.2342739,0.21143293,23,0.33379987,0.23726398,4.720908,4.9313083,0.68602,0.7160436
24,0.31203273,0.14094037,24,0.74788177,0.7075911,4.728901,4.231226,0.5914982,0.6959814
25,0.6072837,0.82077396,25,0.13214262,0.15981752,4.1711884,5.085374,0.562473,0.47628182
26,0.73188156,0.9202492,26,0.71215254,0.88709545,2.8294444,3.617886,0.6126465,0.5441771
27,0.13510132,0.1083383,27,0.76738584,0.84981394,2.938242,2.0203116,0.52020663,0.4165252
28,0.54270315,0.39618772,28,0.49636677,0.47854048,5.4731383,5.7004933,0.6256792,0.4522015
29,0.46167472,0.4535311,29,0.37762392,0.34393084,3.245223,2.3002896,0.7153199,0.8368658
30,0.6979525,0.6079905,30,0.5365045,0.4713323,2.3419461,2.938274,0.37010542,0.14871478
31,0.64556086,0.37553847,31,0.5139331,0.50534344,4.0012975,5.0991483,0.69174594,0.8595449
32,0.4659723,0.43815058,32,0.5947355,0.6720213,4.4388137,6.4671826,0.78796613,0.74163103
33,0.039074518,0.048297822,33,0.080820605,0.05557072,6.4554286,6.170186,0.71555537,0.4872191
34,0.18122686,0.18567282,34,0.59016466,0.655816,5.905795,6.3883543,0.72392017,0.8282162
35,0.56424624,0.44567466,35,0.66269827,0.38806123,4.3038645,2.517407,0.51288736,0.6093847
36,0.70174754,0.77611667,36,0.12842484,0.115847826,6.081936,6.34087,0.5601261,0.5425847
37,0.42032427,0.21025914,37,0.7250916,0.8475826,1.5471413,1.4870509,0.23662072,0.35197556
38,0.4188929,0.28756505,38,0.34930634,0.363985,5.4038,5.7652645,0.30169433,0.21029758
39,0.56535065,0.31849933,39,0.55429393,0.41236365,4.5479584,2.6833234,0.22882575,0.101059854
40,0.5191893,0.50292367,40,0.5481331,0.21064341,2.1182992,1.3453931,0.67883873,0.82643086
41,0.6000212,0.98967785,41,0.73517275,0.7921828,2.8655732,2.5373027,0.21686721,0.18632531
42,0.54409224,0.6896375,42,0.4156023,0.50059474,3.031467,3.5440784,0.22603112,0.18684661
43,0.6200533,0.7202299,43,0.24339005,0.13328505,2.6283429,2.0874782,0.61232567,0.41768825
44,0.49318898,0.5709117,44,0.17898735,0.44297427,3.8809955,4.1549907,0.16180503,0.29071993
45,0.11930606,0.07009274,45,0.6945193,0.7802652,2.3511925,2.3317897,0.6952628,0.5468872
46,0.69384885,0.7446061,46,0.72529536,0.9700774,2.8859713,1.7173972,0.6095919,0.5191142
47,0.7000068,0.64389575,47,0.7471994,0.5882475,3.9263322,2.6690173,0.78245527,0.98111135
48,0.64053977,0.5781565,48,0.31306696,0.12575006,1.9017074,1.5684617,0.41036725,0.2875734
49,0.07053062,0.096110046,49,0.16266349,0.09076041,3.860368,2.8595972,0.5592502,0.3516451
50,0.5765911,0.47693038,50,0.71879137,0.88105184,1.9778041,2.0068076,0.27962103,0.18713135
51,0.6130258,0.5644564,51,0.27416462,0.23382676,3.749761,3.1263957,0.49000368,0.47029275
52,0.037277732,0.002340734,52,0.3686599,0.2789153,5.434436,5.5829654,0.81369936,0.49952793
53,0.64331126,0.8552995,53,0.3833016,0.6008602,2.4386759,2.1354156,0.74570066,0.8885559
54,0.63518363,0.56154364,54,0.2713495,0.28378665,4.588209,4.355021,0.6483008,0.6378312
55,0.41196942,0.24477392,55,0.3157426,0.24448174,2.7112863,1.4468617,0.6522855,0.6534535
56,0.5365123,0.34797215,56,0.23139518,0.33780664,6.7687736,6.6652594,0.3923708,0.71299213
57,0.42214897,0.6867989,57,0.42409405,0.4810533,3.6241655,4.7497497,0.15029776,0.05677378
58,0.43081775,0.52008796,58,0.2206502,0.30143243,6.657956,5.7888947,0.54344004,0.8610669
59,0.4385361,0.14143556,59,0.49909303,0.1363281,2.3346255,2.2457552,0.64236474,0.7826237
60,0.666503,0.8271642,60,0.6462157,0.87120634,4.852758,6.5161,0.75476986,0.89064574
61,0.35142297,0.20405066,61,0.52164644,0.4331811,3.775481,3.8836515,0.4061139,0.4271313
62,0.53941965,0.9435588,62,0.5038705,0.34088546,3.0600255,3.9841747,0.19876617,0.3758427
63,0.6416689,0.8421984,63,0.65265894,0.5691326,3.6781929,3.2076783,0.20198032,0.027968109
64,0.49321723,0.20274097,64,0.503941,0.21460903,2.0892978,1.702634,0.21188761,0.4205482
65,0.37422362,0.12163639,65,0.4085496,0.54450834,5.5538244,5.6645155,0.27393523,0.052598953
66,0.60807025,0.9420566,66,0.75251806,0.96615136,3.2195325,4.8225656,0.77790296,0.9228977
67,0.6880469,0.7778789,67,0.43220344,0.24290597,5.5878077,3.280748,0.5477809,0.22070569
68,0.46445435,0.5628407,68,0.71519375,0.9630312,2.076058,1.6420683,0.1906104,0.06566256
69,0.6303561,0.9130577,69,0.6337726,0.49456078,3.1850722,1.8253987,0.48663375,0.60577136
70,0.5880692,0.42775267,70,0.7232445,0.6823196,3.9209464,3.0235221,0.4880385,0.56826854
71,0.57413787,0.13971508,71,0.48052603,0.50416076,3.2967994,3.549593,0.1554047,0.047007024
72,0.61969763,0.53705686,72,0.4961673,0.4774232,5.69108,6.5782294,0.39890316,0.57272136
73,0.47212306,0.53790945,73,0.13091573,0.15045565,4.694413,4.920665,0.6091874,0.6716938
74,0.6900886,0.7706441,74,0.5748771,0.8409083,2.4245675,1.8237629,0.44668585,0.65958476
75,0.34694818,0.32830912,75,0.40473807,0.32652003,2.6969256,2.1710205,0.43540302,0.32311726
76,0.5175932,0.88809013,76,0.44017345,0.52623004,4.0895452,4.4191585,0.3901504,0.29444122
77,0.67622924,0.66382277,77,0.6894064,0.6948358,1.5450059,1.2745695,0.59093124,0.80790263
78,0.59367687,0.61329645,78,0.28747022,0.21723896,7.1511807,6.974212,0.23528552,0.027460277
