,policy rate,reward rate,dec temp,habitual tendency,subject,true policy rate,inferred policy rate,true reward rate,inferred reward rate,true dec temp,inferred dec temp,true habitual tendency,inferred habitual tendency
0,0.56727594,0.39371237,4.571311,0.14836834,0,0.20580173,0.43521476,0.8218306,0.62083703,5.69342,4.44183,0.16027355,0.17946674
1,0.85644674,0.68137985,6.1463366,0.48218617,1,0.78865063,0.65569127,0.5943753,0.56842524,4.9405646,4.631143,0.14647877,0.4335313
2,0.2722682,0.8445701,1.7365975,0.197368,2,0.114011884,0.26221597,0.39427388,0.7693576,1.7227702,3.517975,0.21733457,0.32978004
3,0.28470966,0.27646595,2.778533,0.6697692,3,0.7280392,0.40826386,0.27773166,0.3793105,2.2467575,2.7530768,0.50924426,0.3020062
4,0.48890543,0.91629916,2.2553382,0.25696498,4,0.8632297,0.42583647,0.838546,0.7551481,1.0226496,2.3929453,0.07129073,0.34930113
5,0.9299941,0.2694081,3.0904982,0.1650096,5,0.6997344,0.5248973,0.14261156,0.261242,1.6927981,2.6079848,0.35963374,0.3436758
6,0.13891663,0.41816252,4.732883,0.73379004,6,0.13219076,0.2540307,0.3955835,0.3968293,5.0998697,4.9410753,0.48997253,0.5021828
7,0.91331196,0.9174106,7.374902,0.13117532,7,0.7179712,0.5218505,0.72560996,0.72396374,3.3499446,3.1224234,0.30640322,0.14588456
8,0.03720502,0.7076585,3.0022244,0.9095533,8,0.01400578,0.03916673,0.20010215,0.6864929,2.0455446,3.2392373,0.5013616,0.58389187
9,0.5200336,0.817266,5.195655,0.0875563,9,0.98297143,0.4803056,0.32655376,0.68055373,2.9666824,4.3993783,0.20533645,0.20427586
10,0.64845085,0.75232065,2.088607,0.19928107,10,0.5109625,0.6760269,0.4122585,0.67540294,2.4925733,2.65185,0.7590868,0.552693
11,0.53661907,0.8360345,4.141658,0.84744364,11,0.23143005,0.42838725,0.59172547,0.6802992,3.9188735,3.6932485,0.9530003,0.72964513
12,0.5783918,0.40426898,7.970417,0.39681187,12,0.118483365,0.41501564,0.23101133,0.28972822,6.374098,7.3534102,0.58703905,0.3236723
13,0.08906081,0.8205738,4.0443745,0.83823985,13,0.07668722,0.1142534,0.11776751,0.53094685,2.333592,2.3890738,0.65143454,0.6965035
14,0.28116518,0.64774865,2.8544357,0.50958776,14,0.27615547,0.25153652,0.69652474,0.4608994,2.340652,2.986898,0.90134305,0.71523464
15,0.19787785,0.88470244,2.6564338,0.26197457,15,0.43300366,0.41099763,0.93744767,0.73336643,3.0259905,2.1020827,0.9742053,0.61500263
16,0.6144541,0.825399,1.3069285,0.18451984,16,0.41450983,0.40520722,0.3566271,0.64355236,2.2621965,2.8210106,0.40570986,0.3268705
17,0.63875794,0.1947482,6.4629774,0.19531074,17,0.6909299,0.32526892,0.2011525,0.16572838,6.660608,6.377819,0.045539975,0.14444466
18,0.26281846,0.57946825,3.8471017,0.8709468,18,0.116642475,0.16889037,0.8672981,0.6737976,6.585813,5.0498934,0.5115988,0.6995487
19,0.056001283,0.4405715,2.330886,0.24977632,19,0.015461028,0.056556847,0.19833565,0.3798501,1.8612902,1.9279592,0.18402112,0.3963338
20,0.97801083,0.6475324,1.1495979,0.5849631,20,0.13528043,0.5688744,0.9153928,0.6770622,4.345608,2.313273,0.15979642,0.23615019
21,0.20224816,0.63875926,5.5015473,0.40124318,21,0.3600368,0.264776,0.3430814,0.47740087,3.7520208,4.6029305,0.635214,0.46849385
22,0.42232013,0.75434333,1.4945462,0.11052046,22,0.66724366,0.37647563,0.5791543,0.61303407,3.1191487,2.1420493,0.35056072,0.18791205
23,0.33576873,0.42913443,3.4870148,0.47493446,23,0.39630163,0.27357447,0.51686263,0.33663923,3.209804,2.8822422,0.9869489,0.74540615
24,0.50156087,0.68993026,0.7726902,0.74155736,24,0.20410001,0.29227108,0.6023472,0.6523505,1.6261624,1.5724046,0.48480922,0.5704106
25,0.66007143,0.2690756,1.9780967,0.31248567,25,0.71066785,0.5307777,0.6208449,0.5421221,4.48491,3.1787682,0.42942536,0.31969556
26,0.41253585,0.458607,3.2256312,0.24636327,26,0.9959625,0.2916692,0.67111,0.6354203,2.7529383,3.5233605,0.004791379,0.29175007
27,0.79931056,0.06789384,4.5304565,0.7525159,27,0.8548628,0.7141775,0.09867948,0.08898828,5.788123,5.6456656,0.90778595,0.7196526
28,0.023462597,0.70600677,2.458232,0.8087287,28,0.0016010404,0.037068218,0.13748264,0.43966195,2.2627401,1.9894949,0.24341112,0.5370447
29,0.83806324,0.4130972,3.3833113,0.47797704,29,0.8954361,0.824738,0.7377433,0.6614535,4.5264597,3.002426,0.82099587,0.7131423
30,0.26082715,0.66277194,4.2860928,0.5419667,30,0.63929546,0.6912129,0.28035194,0.41500637,1.6630242,3.299585,0.51822245,0.61042506
31,0.4978594,0.25656515,1.2558407,0.524895,31,0.51967275,0.6306157,0.7221991,0.44825447,3.6169026,2.2132523,0.6859246,0.6188693
32,0.062238023,0.3413255,1.4572109,0.057780474,32,0.9098592,0.3209305,0.3874144,0.6152989,2.393075,2.9172301,0.05034685,0.20673032
33,0.51606613,0.33167464,0.71416736,0.9192046,33,0.24428374,0.42879283,0.459597,0.68704456,1.3231704,3.113313,0.1878221,0.6631522
34,0.45565942,0.69266385,2.7768338,0.8068899,34,0.36409998,0.33747607,0.35434937,0.42494586,1.6325682,2.966193,0.90150434,0.7987664
35,0.14700413,0.8347933,3.1146088,0.5255844,35,0.17760229,0.25684276,0.4935128,0.5646113,1.0223002,1.8256701,0.7371756,0.49213806
36,0.57887167,0.646382,5.9012337,0.14301267,36,0.14957088,0.2311142,0.32306153,0.40103427,2.7021031,3.0748427,0.2049132,0.37259763
37,0.8172631,0.75281334,3.0435286,0.35680717,37,0.7573642,0.6514027,0.9295086,0.7730313,5.618042,4.207483,0.09083235,0.34584203
38,0.14625953,0.14662819,5.5680265,0.45683882,38,0.2224701,0.2183865,0.10306257,0.062017646,5.571134,4.6981797,0.74533415,0.5428777
39,0.68036145,0.60093933,3.8968549,0.028700497,39,0.11636698,0.23308778,0.3523327,0.4557413,3.958423,3.6292431,0.24306113,0.23084539
40,0.19781394,0.8962615,1.3596845,0.6720012,40,0.3206265,0.3727763,0.66724396,0.7433925,1.6204039,1.9755182,0.7826725,0.65944177
41,0.48528263,0.54494727,3.8882022,0.13605216,41,0.9250028,0.4822689,0.32617795,0.43866834,3.9742408,3.1804342,0.12209827,0.24195226
42,0.5159871,0.16550285,5.654379,0.81855905,42,0.7244191,0.3862713,0.15921825,0.20292267,6.796917,7.0557194,0.49017775,0.5122384
43,0.36321032,0.40020472,5.952239,0.62898886,43,0.38912958,0.29466087,0.55459875,0.474447,5.0912685,5.8964844,0.8971543,0.69775194
44,0.33828774,0.52842224,3.3155382,0.5736223,44,0.49475425,0.4129704,0.59624,0.57640284,6.1280127,4.819742,0.24181718,0.4563363
45,0.32305863,0.37434536,5.4991617,0.60509056,45,0.25387132,0.52171165,0.41054428,0.3038361,6.163267,5.5518856,0.11797744,0.24926683
46,0.24240042,0.44068587,1.5598983,0.5771511,46,0.22508466,0.22129656,0.9405901,0.63466233,1.4611676,2.3593867,0.57893777,0.6988983
47,0.5064055,0.5595929,6.7223606,0.2870432,47,0.43016565,0.31755307,0.5614964,0.47707093,6.5797005,5.37232,0.5505616,0.508666
48,0.688388,0.3579307,4.1383467,0.74265134,48,0.32405502,0.7219111,0.44962066,0.4801828,3.7975204,4.204451,0.45744187,0.6720681
49,0.6043893,0.69789094,2.9997861,0.1961387,49,0.69907534,0.557981,0.31389278,0.35767436,2.2798843,3.0423546,0.3273235,0.5190932
50,0.76836216,0.7288645,5.399002,0.3670913,0,0.20580173,0.43521476,0.8218306,0.62083703,5.69342,4.44183,0.16027355,0.17946674
51,0.7832078,0.5036907,4.2941265,0.65377194,1,0.78865063,0.65569127,0.5943753,0.56842524,4.9405646,4.631143,0.14647877,0.4335313
52,0.013502848,0.8660881,4.7391324,0.4379052,2,0.114011884,0.26221597,0.39427388,0.7693576,1.7227702,3.517975,0.21733457,0.32978004
53,0.086023964,0.41252378,1.3288219,0.16972883,3,0.7280392,0.40826386,0.27773166,0.3793105,2.2467575,2.7530768,0.50924426,0.3020062
54,0.35480317,0.7040486,2.2366614,0.57056856,4,0.8632297,0.42583647,0.838546,0.7551481,1.0226496,2.3929453,0.07129073,0.34930113
55,0.093294084,0.23965555,1.9763803,0.2735774,5,0.6997344,0.5248973,0.14261156,0.261242,1.6927981,2.6079848,0.35963374,0.3436758
56,0.3962908,0.60955834,7.1559887,0.57774186,6,0.13219076,0.2540307,0.3955835,0.3968293,5.0998697,4.9410753,0.48997253,0.5021828
57,0.78813607,0.66298056,2.0023832,0.3788994,7,0.7179712,0.5218505,0.72560996,0.72396374,3.3499446,3.1224234,0.30640322,0.14588456
58,0.031890623,0.22666131,2.8274772,0.7610228,8,0.01400578,0.03916673,0.20010215,0.6864929,2.0455446,3.2392373,0.5013616,0.58389187
59,0.36941892,0.67955744,3.856695,0.21561436,9,0.98297143,0.4803056,0.32655376,0.68055373,2.9666824,4.3993783,0.20533645,0.20427586
60,0.66170526,0.76008725,2.031251,0.7858939,10,0.5109625,0.6760269,0.4122585,0.67540294,2.4925733,2.65185,0.7590868,0.552693
61,0.2828062,0.84148407,3.2341292,0.8938082,11,0.23143005,0.42838725,0.59172547,0.6802992,3.9188735,3.6932485,0.9530003,0.72964513
62,0.38211146,0.24825639,8.304823,0.08819741,12,0.118483365,0.41501564,0.23101133,0.28972822,6.374098,7.3534102,0.58703905,0.3236723
63,0.16557096,0.4264652,1.3040006,0.8996422,13,0.07668722,0.1142534,0.11776751,0.53094685,2.333592,2.3890738,0.65143454,0.6965035
64,0.17481649,0.31692067,2.255528,0.77872336,14,0.27615547,0.25153652,0.69652474,0.4608994,2.340652,2.986898,0.90134305,0.71523464
65,0.24380016,0.8165113,2.443665,0.5192852,15,0.43300366,0.41099763,0.93744767,0.73336643,3.0259905,2.1020827,0.9742053,0.61500263
66,0.12091865,0.5025324,4.9005027,0.19232307,16,0.41450983,0.40520722,0.3566271,0.64355236,2.2621965,2.8210106,0.40570986,0.3268705
