,policy rate,reward rate,dec temp,habitual tendency,subject,true policy rate,inferred policy rate,true reward rate,inferred reward rate,true dec temp,inferred dec temp,true habitual tendency,inferred habitual tendency
23946,0.8595224,0.3722181,4.5387115,0.6923349,46,0.7015409,0.45484406,0.5020495,0.26679188,5.990258,4.400322,0.3002805,0.5984307
23947,0.35195753,0.20318504,5.2308435,0.39309147,47,0.88831097,0.48247796,0.2046107,0.20331985,6.272718,5.6966934,0.4222597,0.38486615
23948,0.03436187,0.44737482,6.4153023,0.41872793,48,0.020745516,0.052324004,0.47510403,0.46265778,6.581291,6.1558466,0.91635066,0.675901
23949,0.43323794,0.54537153,2.9467006,0.7781704,49,0.37141687,0.3096137,0.47502303,0.5558304,3.2975821,3.8425493,0.93423486,0.7712434
23950,0.49491802,0.25319597,6.4480762,0.676609,0,0.98047614,0.66714716,0.30027175,0.30494848,5.620175,6.1704307,0.99672043,0.5671383
23951,0.8658189,0.15766446,6.713528,0.23552762,1,0.8994869,0.5696964,0.17778534,0.1887155,6.78544,6.433534,0.05438757,0.28331172
23952,0.8312679,0.119381204,1.6009474,0.20510028,2,0.0074812174,0.46573687,0.15166336,0.32847142,1.8363206,1.8798118,0.13155824,0.1251795
23953,0.34905958,0.24067105,4.309828,0.77895975,3,0.14123952,0.19855353,0.27877098,0.2928381,5.8036156,4.479798,0.2628532,0.37561798
23954,0.89595306,0.18053505,6.416263,0.5738735,4,0.6794396,0.4971858,0.14632678,0.16762073,5.4912496,5.9838467,0.2007314,0.10783836
23955,0.29040626,0.13749613,3.2878911,0.5206371,5,0.2720065,0.27528712,0.15173405,0.119670674,4.0385313,3.5077837,0.44182074,0.35778606
23956,0.71876866,0.5439722,6.118515,0.9914532,6,0.7977013,0.7870802,0.64405155,0.54110837,6.709491,5.8046026,0.8318706,0.81506854
23957,0.46257496,0.52329785,3.8298342,0.6288447,7,0.95341074,0.43515092,0.48618788,0.51693165,4.4326663,4.217945,0.25403094,0.21984111
23958,0.15549263,0.04320234,7.5031805,0.17915265,8,0.64086664,0.38805363,0.05822158,0.057199493,6.244875,6.504492,0.4907726,0.3385503
23959,0.65434635,0.1838702,2.4101684,0.05020652,9,0.28226596,0.30166444,0.106037974,0.20132154,2.3741941,2.3177886,0.19605684,0.18156637
23960,0.0828004,0.7520564,2.5329387,0.9580713,10,0.1035707,0.105204046,0.8395784,0.8108969,6.1162205,4.5680666,0.9994072,0.8028828
23961,0.116436824,0.6017666,6.508179,0.7140015,11,0.13911098,0.2641311,0.6400395,0.71897656,6.248746,6.588124,0.24730092,0.5065347
23962,0.6812728,0.42222026,3.9991572,0.27225825,12,0.96256316,0.5754629,0.5938967,0.45754167,3.2278204,3.9331305,0.11538762,0.25561556
23963,0.9403335,0.47143474,4.138054,0.8398274,13,0.8927227,0.753492,0.45197308,0.44180194,2.7801743,2.5344775,0.1330983,0.657642
23964,0.06873038,0.18085355,2.2061782,0.7065596,14,0.168692,0.124886766,0.8498835,0.6513767,4.4226565,2.3637495,0.44764084,0.44634187
