,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp
0,0.49504083,0.35726637,0,0.47870225,0.2673996,5.0318313,4.24582
1,0.5051634,0.16357285,1,0.5070327,0.39144915,4.947887,2.053312
2,0.50539553,0.62171304,2,0.49347863,0.0004068613,5.0218396,1.3648555
3,0.5047987,0.35808116,3,0.5180417,0.46921235,4.9912252,1.8422905
4,0.49130335,0.858453,4,0.49765995,0.005561352,4.9262633,1.6206689
5,0.50504404,0.5792996,5,0.49331194,0.78239876,4.8982725,3.769581
6,0.51171654,0.92607725,6,0.51394284,0.17969209,5.016244,1.4882575
7,0.49074325,0.14773005,7,0.5076334,0.088371694,5.1447167,6.2256794
8,0.49865094,0.25658602,8,0.4994837,0.45966625,5.067489,1.0740229
9,0.4952747,0.20568568,9,0.49503022,0.38954967,5.2317786,6.0639806
