,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp
0,0.25161916,0.0342353,0,0.5879959,0.71339566,3.9750972,4.848607
1,0.6319493,0.47405142,1,0.58193445,0.4796726,6.2114396,6.742615
2,0.71080595,0.7580349,2,0.5843967,0.56828666,3.715381,4.008711
3,0.22780725,0.11638588,3,0.5600885,0.6198908,3.6898263,3.7905974
4,0.2696112,0.1753354,4,0.6783979,0.81411135,2.725977,3.2200544
5,0.41319796,0.5719904,5,0.68957275,0.9070177,2.7496412,1.6122067
6,0.49059585,0.41052467,6,0.5038692,0.48834378,4.912295,4.489807
7,0.3251091,0.21389729,7,0.41470337,0.19389385,4.0352902,3.0332181
8,0.20397134,0.10271615,8,0.6689807,0.91811484,3.2236838,4.637296
9,0.34578508,0.008214891,9,0.5016576,0.4556836,5.735119,5.3807087
10,0.63772464,0.84449404,10,0.5494937,0.61366665,5.7260756,6.572272
11,0.4303934,0.44473797,11,0.6936632,0.86632806,2.8858526,1.5345818
12,0.3695122,0.72380745,12,0.21478958,0.10690975,5.0103836,4.1305695
13,0.26268548,0.32348794,13,0.60553175,0.6307573,3.0039887,1.9879044
14,0.6491505,0.9012679,14,0.49117842,0.38612014,3.3754644,2.3361077
15,0.21256863,0.08588463,15,0.67350864,0.9435056,3.4096422,4.935838
16,0.739645,0.99577034,16,0.30876148,0.2582023,3.5204942,3.4221253
17,0.23085569,0.18826109,17,0.6616559,0.8700034,3.174521,4.7592626
18,0.5523023,0.49073064,18,0.6784921,0.82361406,3.242807,4.538228
19,0.33987957,0.5511324,19,0.57333165,0.64061105,4.5467825,4.230426
