,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp
0,0.32270953,0.0342353,0,0.588098,0.71339566,4.0031786,4.848607
1,0.6311994,0.47405142,1,0.57950735,0.4796726,6.0723863,6.742615
2,0.6711145,0.7580349,2,0.5679557,0.56828666,3.7061093,4.008711
3,0.31250238,0.11638588,3,0.5778071,0.6198908,3.9569852,3.7905974
4,0.31371745,0.1753354,4,0.6420642,0.81411135,3.169976,3.2200544
5,0.42857862,0.5719904,5,0.658999,0.9070177,3.3418565,1.6122067
6,0.5140732,0.41052467,6,0.5214889,0.48834378,5.135322,4.489807
7,0.3580705,0.21389729,7,0.4622918,0.19389385,4.373554,3.0332181
8,0.29847458,0.10271615,8,0.6457512,0.91811484,3.447814,4.637296
9,0.3713666,0.008214891,9,0.51961964,0.4556836,5.9218574,5.3807087
10,0.621787,0.84449404,10,0.5376392,0.61366665,5.6981387,6.572272
11,0.42629308,0.44473797,11,0.6548774,0.86632806,3.2885115,1.5345818
12,0.38827503,0.72380745,12,0.305291,0.10690975,5.204357,4.1305695
13,0.32463175,0.32348794,13,0.6191348,0.6307573,3.467852,1.9879044
14,0.63582677,0.9012679,14,0.53403294,0.38612014,3.6676269,2.3361077
15,0.31213686,0.08588463,15,0.6443054,0.9435056,3.5701582,4.935838
16,0.68049616,0.99577034,16,0.37792295,0.2582023,3.7007053,3.4221253
17,0.30523023,0.18826109,17,0.6528956,0.8700034,3.6552515,4.7592626
18,0.54334646,0.49073064,18,0.6383694,0.82361406,3.5803223,4.538228
19,0.3659686,0.5511324,19,0.5696886,0.64061105,4.5844445,4.230426
