,locs0,locs1,locs2,locs3,locs4,subject
84,-1.8479998,1.6643376,-1.6617205,-2.3455067,-1.5290504,12
85,0.079435825,1.3249007,-1.5877104,-2.0764556,-2.7952766,13
86,-0.3207823,0.85559464,-1.4321735,-1.5067401,0.08822715,14
87,-2.1066575,-0.04523185,-0.8792976,-1.8456501,-0.43231893,15
88,-0.10069108,0.25656444,-2.3183198,-1.1844287,-1.3789984,16
89,-0.2960034,1.0732756,-2.0035977,-1.2077756,-0.47095305,17
90,-2.0080404,1.1197381,-1.4917827,-1.8145049,-1.0602264,18
91,-1.3199484,0.69182515,-1.9835325,-1.9154152,-1.0284427,19
92,-0.9252,0.12491417,-2.0836172,-2.4754264,-0.012801409,20
93,-0.12972534,1.6444006,-1.6151805,-1.5306436,-1.1565754,21
94,-2.1818457,0.3386634,-1.0658443,-1.7290225,-1.7260897,22
95,-0.38516462,0.9236932,-1.921337,-1.1058049,-0.56872517,23
96,-1.1864036,1.3603733,-1.7687033,-1.9382558,-1.5425371,0
97,-1.9105744,0.9424683,-1.243541,-1.737668,-1.8061589,1
98,-0.4500904,0.5983798,-1.1985854,-2.5267777,-1.9236233,2
99,-1.307953,0.19640267,-1.705444,-1.5010602,-1.7298558,3
100,-2.3602746,0.7864114,-0.9201733,-1.6168698,-2.391861,4
101,0.3632344,0.3433901,-2.5373063,-1.6104772,-1.8305155,5
102,0.27217972,0.553928,-1.6665261,-1.3751968,-1.7846043,6
103,-0.1289199,1.2194172,-1.0321628,-1.5273312,-2.4048166,7
104,0.1689784,0.9272338,-1.6414747,-1.4378977,-1.0535152,8
105,-2.6094236,0.44661814,-1.0406002,-2.3114817,-0.5780138,9
106,-1.1900322,-0.7240751,-1.5727162,-2.08833,-0.6432618,10
107,-0.50434005,0.9882421,-1.9529423,-2.1074705,-2.0001369,11
108,-1.700666,0.5179948,-1.2661248,-1.7666515,-1.1482661,12
109,-1.212758,0.8971389,-1.7239431,-1.5546378,-1.496854,13
110,-0.8798809,0.691575,-0.76508886,-2.1850562,-1.1783514,14
111,-1.8180782,-0.65105224,-0.98380053,-1.9736135,-1.1095991,15
112,-1.1400254,0.3018107,-1.7141218,-0.4639297,-0.52119225,16
113,-2.0139308,0.29096305,-1.1370153,-1.7666788,-1.5240979,17
114,-0.73783755,0.81343126,-1.718514,-2.3297684,-1.2442207,18
115,-2.2806468,1.6193562,-1.1085212,-1.9423947,-1.0537983,19
116,-0.97050494,1.0179155,-1.9574182,-1.4806533,-0.6469176,20
117,-1.8416141,1.2873783,-1.0681367,-2.1280684,-1.4368424,21
118,-0.93204606,-0.4878134,-1.6637961,-1.0333644,-1.052,22
119,-0.63278985,0.6894693,-1.8209622,-2.3793883,-2.256627,23
120,-0.18605113,0.2514748,-2.326966,-2.1462307,-2.0884483,0
121,-2.1644301,-0.09180009,-1.2453305,-2.0094726,-1.8431793,1
122,-1.1322647,0.3132547,-2.296017,-1.4574674,-3.0594368,2
123,-0.46218115,0.8968242,-1.6468815,-2.1010964,-3.1456678,3
124,-0.80847335,0.71732426,-1.6431346,-1.005229,-1.7949986,4
125,-1.4356725,0.23807591,-1.8934965,-1.9673123,-1.667478,5
126,-1.1544654,0.9740624,-1.0634615,-1.4257925,-0.8349804,6
127,-1.5443226,-0.1546269,-1.5973337,-1.6130694,-2.2183366,7
128,-1.5757437,-0.01882571,-1.8020614,-1.5775355,-2.444746,8
129,-0.761042,1.2416768,-1.5470697,-2.1821733,-1.5957595,9
130,-0.15032172,0.33625698,-2.4000938,-1.3890148,-1.4027175,10
131,-2.2309163,1.5436523,-0.9555417,-1.7883481,-1.2613165,11
132,-1.38145,1.3512301,-1.3284321,-2.130502,-1.8874234,12
133,-0.42045236,0.81670856,-2.4443235,-1.584899,-1.6604776,13
134,-0.55999017,1.2186859,-1.4644631,-0.67053723,-1.1592276,14
135,-1.5800675,-1.0178181,-1.0671574,-2.111714,-1.7078763,15
136,-0.8881574,0.9315295,-1.2845652,-0.7949562,-1.7856857,16
137,-0.5887177,1.3248197,-1.0090387,-1.7568637,-2.150503,17
138,-1.0721511,0.9867743,-1.406201,-2.1868947,-1.4853559,18
139,-0.36171317,1.4455429,-1.2963057,-1.6544188,-1.291764,19
140,-0.7299694,0.99298894,-2.0022995,-1.7043672,-0.25564432,20
141,-1.5715592,0.24866891,-2.2985792,-2.099307,-1.8908546,21
142,-1.14033,0.51599246,-1.011087,-2.412805,-2.0635185,22
143,-1.1248133,0.86431384,-2.401801,-1.3258338,-2.148477,23
144,0.15057945,0.015919924,-2.1179554,-1.4215798,-1.8907917,0
145,-1.4650818,2.2540984,-1.0174485,-1.8306627,-0.25274813,1
146,-1.4329646,0.2739276,-1.1226692,-1.8385203,-1.9119437,2
147,-0.47270066,1.4415491,-1.8952042,-1.9934772,-1.411333,3
148,0.08183706,1.7062674,-2.0684917,-1.5398667,-1.553215,4
149,-2.058525,0.770811,-1.3861406,-1.7056476,-1.2407136,5
150,-1.9232244,0.81363976,-1.3219004,-1.7683331,-2.2755373,6
151,-0.47447062,-0.8789801,-1.9809097,-2.1739876,-1.64752,7
152,-1.1235294,-0.29635277,-2.439427,-0.96041596,-1.1269672,8
153,-0.6548426,0.32784247,-2.3295465,-1.1826781,-1.8674939,9
154,-1.0393589,-0.41029555,-1.9865272,-1.9365722,-0.9528522,10
155,-1.7590237,0.9081722,-0.617918,-2.185808,-1.6197984,11
156,-2.1559825,0.9239006,-1.7231998,-1.821994,-1.3138156,12
157,-1.0927414,0.7151816,-1.579287,-2.2563777,-1.9457288,13
158,-0.5069046,0.13710701,-1.4119321,-2.0821404,-0.5394533,14
159,-1.5794415,-0.46026528,-1.2162998,-2.2093003,-1.8329928,15
160,-0.762455,0.17421421,-1.2305326,-1.5818285,-1.3880382,16
161,-1.5173719,1.8307815,-0.6307738,-1.4852682,-1.4640591,17
162,-1.2896348,0.84272593,-1.4981971,-1.9419503,-1.504431,18
163,-1.1088133,0.54275256,-1.7833731,-1.8877354,-1.3424163,19
164,-1.3902093,0.7315506,-2.5379043,-1.6197547,0.27926528,20
165,-0.23387086,0.16553462,-2.438489,-1.4361764,-1.5369091,21
166,-0.6504579,0.7308445,-1.4387835,-1.7020824,-1.2069957,22
167,-1.5187695,1.5567644,-0.7088307,-1.0393,-2.1016994,23
168,-0.83662057,0.5482844,-1.2362924,-1.8269453,-2.3247662,0
169,-1.5669556,1.8076217,-1.6268204,-1.911268,-1.3880813,1
170,-0.84327173,0.5582363,-1.0276724,-2.1620436,-1.2331653,2
171,-1.2220147,1.121811,-1.8176461,-1.4163082,-1.2331319,3
172,-0.75681615,0.52393454,-2.0829105,-1.651135,-2.872521,4
173,-1.1265281,1.4430764,-1.5164433,-1.5901484,-2.7737308,5
174,-1.1356194,0.5433469,-0.9786678,-1.5035087,-0.8684741,6
175,-0.8646221,1.581836,-0.13925529,-1.1470917,-2.1340098,7
176,-0.7568134,-0.3504192,-2.2105904,-1.4896669,-0.7109175,8
177,-0.71259,1.3752435,-0.7526618,-2.2004042,-1.9340583,9
178,0.18073392,-0.39967936,-1.6867071,-1.9709513,-1.7193084,10
179,-0.31649464,0.9778785,-1.9851158,-1.8680379,-2.1974618,11
180,-1.5020735,0.63269645,-1.548349,-1.4175289,-1.5683177,12
181,-0.6329799,1.4723517,-2.4536495,-1.3231463,-2.5537794,13
182,-1.8179865,0.19378823,-0.9117522,-2.050303,-1.4047556,14
183,-0.9643364,-1.109405,-2.5068588,-1.8087176,-1.8868883,15
184,-0.5308834,1.1769245,-0.8583194,-0.6355076,-1.5740554,16
185,-0.8550877,1.2066015,-1.7737415,-1.1155436,-0.8253046,17
186,-0.725943,1.4588196,-1.2684834,-1.2960827,-2.5967202,18
187,-1.8105333,1.401772,-1.3841634,-1.272253,-1.7263592,19
188,-0.48739195,1.1426361,-0.97129,-1.6548148,-1.4079734,20
189,-1.8814563,1.3807769,-0.9785723,-2.2315671,-1.3713896,21
190,-2.0994744,0.0026926994,-0.48981625,-2.3601148,-2.5220425,22
191,-0.9738612,0.93943805,-1.7229478,-1.5119874,-1.2598333,23
192,-0.6719118,1.2650585,-2.5341618,-1.8608679,-2.309107,0
193,-1.5487711,1.264404,-1.8454279,-1.054528,-0.47782254,1
194,-1.0718708,0.20021656,-1.4545276,-2.5988455,-1.8928578,2
195,0.089571476,1.7219728,-0.97333604,-1.5278809,-3.8720565,3
196,-2.2858117,1.8041669,0.23014295,-1.9611474,-2.187992,4
197,-0.4757023,0.4466888,-1.7822211,-2.2234182,-2.1087172,5
198,-0.43409586,0.33974487,-1.2852731,-1.8614523,-2.6225076,6
199,0.35686278,0.41755486,-2.1441212,-1.1598423,-1.351576,7
200,-1.2026246,-1.7028372,-1.7185111,-1.761345,-1.7083633,8
201,-2.0577345,0.39351273,-0.4907236,-2.2677708,-1.8718581,9
202,-0.38046542,-0.051911697,-1.8184352,-2.024092,-1.6146382,10
203,0.014653921,0.26152122,-1.9355673,-1.527298,-2.0371194,11
204,-0.8472126,2.1678767,-1.4167084,-2.1634116,-1.837827,12
205,-0.48406905,1.3112798,-1.8914075,-1.5580277,-2.137765,13
