,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred mf weight,true mf weight,inferred mb weight,true mb weight,inferred repetition,true repetition
97,0.2928518,0.988871,97,0.44683126,0.38058943,1.5536909,0.15572906,4.1132665,4.4664254,0.62485135,0.6485768
98,0.24973053,0.21250987,98,0.714167,0.68452555,1.8422139,2.09476,5.1446514,5.708297,0.32628176,0.0068962574
99,0.18220443,0.014781296,99,0.30671707,0.23603064,1.9169058,0.04697013,5.106496,5.2710814,0.5935752,0.84480333
100,0.6679668,0.9149534,100,0.26844326,0.31200612,3.8681848,4.563922,2.3694825,1.6789387,0.5772259,0.23874956
101,0.52599096,0.60133755,101,0.0711066,0.06594515,3.9201365,4.479304,3.9347281,4.4592023,0.5307519,0.40696102
102,0.7594177,0.84642726,102,0.39965972,0.487956,4.295597,5.2005014,2.4515486,1.0261824,0.69129026,0.65934414
103,0.5977154,0.17566365,103,0.086478576,0.02458036,3.9612362,1.5930669,3.976146,1.3548303,0.5713954,0.3145393
104,0.45283252,0.8832614,104,0.732114,0.7835429,1.8053426,1.2012881,3.1093266,3.062245,0.5326677,0.645492
105,0.63802093,0.4991939,105,0.091446206,0.07631546,4.1553383,4.7278085,3.33563,5.742124,0.5817864,0.19335777
106,0.7454561,0.87680054,106,0.63731945,0.68750805,4.2518086,4.926385,3.55996,4.0595818,0.3339967,0.09685391
107,0.5740643,0.3959937,107,0.7022799,0.8083968,2.7124922,4.730386,2.6137104,3.323071,0.36117402,0.44278485
108,0.18174309,0.055267394,108,0.09354594,0.03613335,2.4927094,4.2704496,3.1603012,0.9952297,0.45005468,0.68561095
109,0.6699827,0.9712773,109,0.735692,0.73332024,3.2561579,2.1572113,2.8523996,3.4634109,0.56120884,0.41386098
110,0.49311152,0.5659467,110,0.64755505,0.70740104,2.7806008,3.9915562,2.709587,2.4171119,0.3012295,0.023360908
111,0.23473692,0.11160958,111,0.24763224,0.19795024,2.2766142,1.4144518,3.8556015,3.446846,0.5050974,0.9719495
112,0.48048934,0.3193695,112,0.4375252,0.5242149,3.3812582,5.9370418,3.9769921,2.4639337,0.76726186,0.93751204
