,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred mf weight,true mf weight,inferred mb weight,true mb weight,inferred repetition,true repetition
115,0.3684774,0.23236513,115,0.64660186,0.65207535,2.1654694,2.8142695,2.422228,1.997484,0.3319724,0.19596618
116,0.329439,0.28791225,116,0.74246794,0.8703545,1.9739559,4.306162,4.1938925,5.639325,0.5285781,0.56300396
117,0.41422418,0.3343833,117,0.32596737,0.34299397,3.413148,4.401779,4.6145287,5.0982447,0.49105412,0.9188634
118,0.52535677,0.9398385,118,0.7604227,0.8701788,2.4085343,2.8538861,3.1818645,5.293998,0.76147866,0.78577363
119,0.53740066,0.43630326,119,0.66756445,0.71760327,2.9534917,4.1683483,3.8308613,5.8991814,0.38049403,0.16589767
120,0.30299667,0.49388266,120,0.776808,0.88658077,1.5625939,0.16946912,3.3295703,4.929432,0.56146485,0.95230883
121,0.61741793,0.29735893,121,0.22691785,0.2906617,3.9263744,5.944581,3.069324,1.1420013,0.5569825,0.9672275
122,0.5877277,0.79342854,122,0.085132495,0.008670449,4.036078,2.2245479,3.8991964,5.2828827,0.582313,0.99352694
123,0.702083,0.79107463,123,0.7635718,0.8044943,3.8688085,5.7559495,2.2026896,0.54298997,0.6584216,0.12586296
124,0.3797287,0.3851654,124,0.5283209,0.5172911,3.359004,3.4251127,1.975581,1.7082878,0.2587066,0.10879618
125,0.47931036,0.47275352,125,0.5483727,0.5954142,3.146958,4.4919167,4.5606894,4.056294,0.6695243,0.44706494
126,0.44199598,0.39398998,126,0.21298905,0.26123005,2.9271474,5.0883846,2.686798,5.560104,0.45917132,0.2500006
127,0.5514603,0.77650106,127,0.5644254,0.6191379,2.424697,2.8650649,1.9543169,2.2330995,0.6831878,0.36102915
128,0.37565482,0.45334858,128,0.63052934,0.5380373,1.4273283,1.5239264,0.8425533,0.32172203,0.531024,0.2749701
129,0.3672334,0.2097516,129,0.6480224,0.68118525,2.4574013,3.2331514,4.775955,5.2497053,0.47135815,0.37074536
130,0.22911954,0.12136036,130,0.64104563,0.76529425,2.5780342,4.7675176,2.4671733,2.7105217,0.2765165,0.24055976
131,0.33809385,0.87262315,131,0.7713157,0.85342765,1.925232,0.48661458,3.987479,4.827585,0.7727452,0.8871213
132,0.53764963,0.6144289,132,0.08587945,0.026106834,3.8242633,2.0919132,3.7267683,3.3928084,0.5392296,0.08374429
133,0.5775529,0.92677355,133,0.0728604,0.04479617,4.0675282,3.4242988,3.743758,5.492822,0.5825884,0.20908499
134,0.26633117,0.41977966,134,0.68416965,0.5926287,1.2833462,0.37536228,3.055965,2.6876826,0.48805034,0.35580355
135,0.3073325,0.24399734,135,0.31790337,0.34527844,2.9221284,3.7870336,3.5290449,2.4838357,0.67546135,0.6591954
136,0.388419,0.5641379,136,0.7315526,0.740518,2.3683448,0.9480357,3.6829977,4.634151,0.416276,0.43567926
137,0.27366346,0.43598247,137,0.7654928,0.9172735,1.2628123,0.82198656,3.7654786,3.5718203,0.18444867,0.2886384
138,0.5089031,0.31644797,138,0.8054346,0.9948837,1.924805,4.50476,2.6894796,3.7121377,0.24281763,0.050125837
139,0.6287626,0.53500277,139,0.08293852,0.033163667,4.1944637,4.6321754,3.515776,0.5042703,0.58373815,0.69703764
140,0.24755935,0.8281272,140,0.20235108,0.20056939,1.9740789,0.59791124,3.7947915,5.079648,0.36863083,0.45449042
141,0.7003605,0.49361038,141,0.5229241,0.49132627,3.0616367,3.0285935,1.5108435,0.9968437,0.76677155,0.73470163
142,0.27136523,0.18838811,142,0.801724,0.95938575,1.4351728,2.5663085,3.762318,5.3367505,0.38624817,0.46489257
143,0.5330448,0.5776776,143,0.4166124,0.44150287,3.3359785,4.7256217,1.3685515,1.8643656,0.5829353,0.28537256
144,0.24653418,0.7968093,144,0.20710143,0.206779,1.296302,0.2758348,4.6364374,4.772005,0.2847146,0.16410673
145,0.31374353,0.22321934,145,0.7732741,0.8362483,1.533331,2.1412144,4.116948,4.1200247,0.18582407,0.33994877
146,0.54797536,0.67879564,146,0.093548,0.08456504,3.8623323,3.4956408,4.040822,3.7339525,0.55200374,0.70913464
147,0.3061096,0.983874,147,0.70357233,0.57428235,0.8782953,0.2489587,0.7420221,0.98267233,0.277703,0.29907346
148,0.64835024,0.6322359,148,0.21958512,0.23072958,4.043677,4.15167,2.9766798,2.1445692,0.562637,0.2617753
149,0.40876222,0.6844249,149,0.18394735,0.1737898,3.2103906,1.3145943,3.1235616,3.4025438,0.50674915,0.3800156
150,0.64925414,0.9949901,150,0.1540334,0.14813012,2.3606787,3.964263,1.1280937,1.2842227,0.5382547,0.54860055
151,0.5475083,0.6584608,151,0.088744566,0.059114337,3.878024,2.900446,3.8223495,4.1580033,0.55485356,0.70614475
152,0.23137912,0.23529732,152,0.7925938,0.984921,1.3512653,1.3548753,3.1887116,4.1613035,0.32456428,0.470325
153,0.23404804,0.15528893,153,0.36576843,0.39565676,2.3426323,3.166744,1.8106333,1.4238617,0.22187664,0.027558327
154,0.6539845,0.6445207,154,0.7611663,0.8051104,3.2870371,4.545967,2.827903,4.505442,0.73092127,0.90904063
155,0.5143391,0.38319373,155,0.7868361,0.88949525,2.3841925,5.695842,2.7510605,4.040279,0.58211744,0.32058644
156,0.58980215,0.76899785,156,0.1929139,0.24206984,4.086151,5.672026,3.8433778,3.2458029,0.5759195,0.6055044
157,0.28152588,0.07451129,157,0.770838,0.8467727,1.5828872,3.5981297,3.9805112,4.382462,0.66120845,0.9884743
158,0.7648494,0.624346,158,0.5360386,0.5660253,2.5891201,3.914106,0.8692115,0.24379635,0.7748108,0.2946974
159,0.5568277,0.30034876,159,0.08436959,0.003247738,3.941766,2.5461078,3.8848429,5.096253,0.57242626,0.6538481
160,0.24502267,0.16126126,160,0.6357557,0.6736252,2.3886507,5.378473,2.173998,1.191541,0.48505172,0.30403173
161,0.7909427,0.97190577,161,0.5371912,0.53908026,2.6684494,3.158227,1.0582894,0.19790947,0.67795384,0.68795675
162,0.55716395,0.7702997,162,0.089330934,0.058413684,3.8968246,4.0174923,3.7438653,2.8569365,0.5484753,0.2303623
163,0.44523016,0.43144542,163,0.09112083,0.047730327,3.720473,5.834092,4.381519,3.864134,0.50563717,0.6202378
164,0.25226748,0.16434664,164,0.741928,0.76304066,2.0621555,4.0760646,1.98059,0.12472594,0.74880946,0.7557207
165,0.4131402,0.8507166,165,0.801803,0.9393022,2.0416868,2.8156834,2.496567,2.0394366,0.33463317,0.044186115
166,0.76060915,0.8537599,166,0.7789337,0.83695185,2.4166145,3.051409,0.9825254,1.1750886,0.664025,0.6571025
167,0.5659338,0.80537534,167,0.09812007,0.06520641,3.8638995,4.8455515,3.849361,3.9914203,0.52303916,0.39878148
168,0.19901282,0.226731,168,0.25020376,0.32078725,2.4652216,4.918549,3.004127,3.5286646,0.4910407,0.062023282
169,0.27647105,0.1027081,169,0.7452566,0.8296911,1.6521889,4.757725,3.453685,3.594283,0.2240188,0.32475287
170,0.32688478,0.75244856,170,0.68266183,0.8758424,0.6649905,0.40577853,0.62264246,0.51171076,0.7963512,0.87068254
171,0.7063385,0.45271987,171,0.8339372,0.9993867,2.3160272,5.714389,1.1823356,0.9576727,0.73311126,0.6834472
172,0.4026735,0.78937393,172,0.70778126,0.721934,2.215994,0.8136438,3.986541,4.7587705,0.63982725,0.48745632
173,0.33449823,0.39390463,173,0.7839896,0.9541611,1.6709383,2.6810768,2.6282156,3.2792225,0.6659767,0.37580335
174,0.5017968,0.9985418,174,0.69933915,0.7539047,3.4623759,2.2675238,2.8394854,3.8020513,0.36831534,0.073165
