,discount,learning rate,mf weight,mb weight,repetition,subject,true discount,inferred discount,true learning rate,inferred learning rate,true mf weight,inferred mf weight,true mb weight,inferred mb weight,true repetition,inferred repetition
0,0.24009609,0.62868816,2.930549,0.71411705,0.54595006,0,0.13878542,0.36105713,0.88329256,0.66756415,5.831762,2.0194824,1.8568686,1.9978237,0.5295074,0.45372364
1,0.44319674,0.73614454,2.301225,3.6479251,0.54680145,1,0.26005572,0.40845466,0.7431386,0.6549524,3.107646,2.2224991,1.7491965,2.3577704,0.6635418,0.56073797
2,0.2661621,0.24344632,4.1175914,3.702781,0.94037294,2,0.5296115,0.54609925,0.017167449,0.17987183,1.7016066,3.674775,5.601427,4.4563437,0.124191284,0.58658904
3,0.24600284,0.45194617,1.5594968,0.16221923,0.8101992,3,0.15004581,0.3646536,0.9979424,0.71820855,5.94586,1.8551363,4.503372,1.731112,0.52882767,0.52842784
4,0.27152368,0.8284779,2.6093738,0.7043631,0.07641678,4,0.084929466,0.29055777,0.5460148,0.6886853,0.65899086,1.3102393,0.03281057,1.1378571,0.10381168,0.26469558
5,0.7782743,0.39100245,4.0757027,1.1102057,0.8510119,5,0.8549662,0.68045646,0.34181893,0.35033435,5.1844835,3.6965,0.20638204,1.9721785,0.19173956,0.6279771
6,0.5646919,0.3142045,5.3297687,5.2837925,0.84193504,6,0.70680207,0.6454635,0.15999454,0.18892977,2.774045,4.068614,4.8344707,4.1986113,0.7003887,0.60830116
7,0.7045467,0.1745145,3.8465528,3.4405167,0.3505811,7,0.8329714,0.6651815,0.0056732297,0.17545968,5.492095,4.2140565,5.2749286,4.2522945,0.82918227,0.5920138
8,0.71985745,0.59457177,0.9910961,1.0553348,0.87454295,8,0.35026908,0.5898306,0.9785553,0.6923002,5.5152774,2.2356894,1.6357834,1.6656655,0.94860774,0.7594213
9,0.08757965,0.5671059,2.555956,2.5698707,0.23991624,9,0.031076312,0.26500574,0.410042,0.5744549,2.8984823,1.9853166,2.167254,2.6358569,0.11547536,0.22243299
10,0.17179112,0.6596024,1.7843252,3.7199965,0.7654121,10,0.47680485,0.36156294,0.5882805,0.6242101,1.6778076,2.170452,3.3217502,3.1147232,0.09239733,0.374929
11,0.70522064,0.59966457,3.302556,1.4497206,0.80635977,11,0.33008623,0.5047011,0.44150138,0.5439967,3.6580524,3.1131577,1.2365456,2.1113727,0.92681974,0.72492146
12,0.20223837,0.7622181,3.0969837,1.7251384,0.13679527,12,0.37460816,0.32474625,0.5046595,0.6385887,0.9157659,1.6862814,1.5859716,1.5884968,0.34772158,0.2545516
13,0.24545221,0.59357935,1.226702,0.8211669,0.19433734,13,0.26205355,0.3772988,0.923914,0.6753233,3.0784729,1.7913768,1.0320536,1.3994348,0.39971167,0.4009574
14,0.5477343,0.6885856,1.770013,1.5758004,0.7534252,14,0.5921992,0.46207556,0.1368447,0.62299365,0.18468797,1.220056,0.28880024,1.1047913,0.87211865,0.801496
15,0.8004093,0.39613026,4.1253223,1.7953773,0.83452666,15,0.9737907,0.7067876,0.42791867,0.38014582,4.677852,3.941627,2.6617675,2.5911963,0.5946402,0.64050937
16,0.5235487,0.78795624,0.8227277,1.3971903,0.42407024,16,0.025746882,0.3223816,0.3020243,0.62634826,1.1581922,1.3151026,0.059794307,1.0551871,0.33734345,0.27419752
17,0.79406387,0.17184448,3.4761465,3.7223475,0.8302541,17,0.6509295,0.64527494,0.1367271,0.19863345,3.9394865,3.9106884,2.6474152,4.0397897,0.7989021,0.5830907
18,0.35640806,0.48746157,2.091231,2.965597,0.68930227,18,0.86555284,0.47954735,0.50922793,0.59893656,1.8003631,2.753038,2.9959345,3.0400918,0.113482475,0.6238949
19,0.61986566,0.13989629,2.7256033,5.7672253,0.5780094,19,0.4922269,0.5908624,0.059574366,0.17313388,5.247343,3.938292,5.583676,4.419083,0.120299816,0.5832356
20,0.49795064,0.12573823,3.6485424,5.0694485,0.15327907,20,0.37046063,0.6140823,0.08522928,0.19361828,2.4132857,4.098982,2.4426508,4.237906,0.49333858,0.5624302
21,0.27610305,0.7009876,3.5086532,4.487528,0.4583988,21,0.1759842,0.37087995,0.59426385,0.59078133,3.4122963,2.3470938,3.3523993,3.8390272,0.39587486,0.60736346
22,0.16996723,0.725698,1.7831401,1.7848967,0.4049139,22,0.67180586,0.35061505,0.9686744,0.70957655,2.0936027,1.9733962,2.4440846,1.838908,0.06055695,0.30219772
23,0.1764657,0.47492516,2.1131318,0.6270913,0.18083996,23,0.25022835,0.335711,0.7693446,0.6821439,2.0509586,2.1100576,3.6664217,2.5373774,0.022204459,0.26864684
24,0.18291102,0.5072832,2.816835,4.3146763,0.89555854,24,0.22321069,0.35941434,0.5456891,0.53641844,3.9223216,2.5257492,5.058756,3.8982916,0.834003,0.7289309
25,0.8540579,0.18946901,3.1453104,2.9458215,0.58117485,25,0.1809923,0.67804307,0.1366877,0.18668085,4.0062494,3.9391928,0.4510671,2.5401468,0.61335766,0.6076772
26,0.6657023,0.48534063,1.140695,3.184494,0.2835515,26,0.15485883,0.34455743,0.60576874,0.6001393,4.8406887,2.3376176,4.4708223,4.2316284,0.3580392,0.36012536
27,0.7945614,0.6432748,1.1187174,2.7892954,0.77983534,27,0.5292105,0.48307434,0.6842954,0.6382039,1.3708713,2.369,2.4409266,1.834855,0.8805287,0.61434937
28,0.5586783,0.46694297,1.2224532,5.0476727,0.6953302,28,0.22106332,0.36578766,0.47927874,0.53536123,3.107638,2.4025235,5.9166446,4.712013,0.9822865,0.7173845
29,0.29357612,0.38437864,4.966968,5.568123,0.96555835,29,0.5740904,0.385784,0.20772558,0.27793407,0.86134493,2.895732,4.7575803,4.5656905,0.86795735,0.58660555
30,0.6394529,0.3330761,0.6427682,3.7147632,0.5603457,30,0.5323929,0.47893828,0.6165041,0.5955243,3.5786119,2.6892836,4.323195,3.7164178,0.6308557,0.75511855
31,0.2952766,0.33676606,2.4733746,2.2016592,0.77711123,31,0.32020563,0.485493,0.42065102,0.49456862,3.8125148,3.1393125,2.6769166,3.081979,0.3072406,0.6969009
32,0.6684803,0.36227039,5.3481426,5.896412,0.957876,32,0.97604525,0.6607268,0.20064086,0.22309852,1.7013291,4.0275087,4.987237,3.763729,0.80809313,0.6290941
33,0.4784042,0.6896763,1.3815818,2.0520906,0.7178406,33,0.8156034,0.41935626,0.7385583,0.68909043,1.8414094,2.0482512,1.7349422,1.7668386,0.4547156,0.5506177
34,0.8230368,0.16446033,4.6070347,3.5751135,0.8389608,34,0.8181484,0.6399551,0.022736073,0.16658352,2.7819104,4.0478516,2.4103925,4.341164,0.030987084,0.56870115
35,0.1951535,0.66568184,2.3018,0.9698927,0.63660103,35,0.07139212,0.32505345,0.9301758,0.6780162,4.2818565,1.8871082,1.3049637,1.477855,0.30170625,0.25557986
36,0.34751266,0.63718534,1.7480932,1.3326421,0.58896106,36,0.6750709,0.4489944,0.91410375,0.6965585,2.3167841,1.9616334,0.36646664,1.7131464,0.652877,0.514465
37,0.581649,0.61900586,2.5813768,2.2470243,0.86013937,37,0.6634505,0.6609056,0.73173106,0.6499143,3.7638159,2.8870177,0.7927877,2.150933,0.90684485,0.71623904
38,0.14723203,0.70272934,3.2496564,4.3655767,0.38706738,38,0.7268988,0.3302502,0.5136405,0.6076415,0.684759,2.0703404,2.5574112,2.8555205,0.26972908,0.31187102
39,0.7674288,0.34338516,0.8182309,1.5880033,0.7835045,39,0.7901205,0.5864983,0.15955687,0.36271274,0.32786894,1.3324139,0.64774346,1.1790822,0.37588346,0.6104553
40,0.7555795,0.6005944,5.051922,5.326159,0.7656096,40,0.53020024,0.581953,0.3902049,0.4351214,2.9404793,3.599726,4.2086077,4.102257,0.0644508,0.50172794
41,0.48730445,0.74537295,1.3545402,3.2366958,0.69909585,41,0.8915406,0.39212266,0.98588085,0.7034559,2.2584853,1.9322578,4.463231,1.9821464,0.3364784,0.7411152
42,0.1544988,0.7004948,1.2645891,0.63404566,0.18678708,42,0.38684553,0.27189872,0.83134997,0.7004164,0.56690276,1.5210819,0.36856806,1.199334,0.21959716,0.22541676
43,0.6008191,0.7211925,1.2167401,1.0688063,0.34966642,43,0.9109644,0.36052653,0.52403414,0.619183,0.41808665,1.5952611,1.8350004,1.3641849,0.27477884,0.37167856
44,0.47500494,0.2315503,3.7118533,5.0378284,0.3627936,44,0.47822392,0.43573397,0.12592888,0.22665429,0.45296645,3.28855,2.3874543,4.209592,0.040209293,0.55620635
45,0.17449479,0.48359516,2.4809308,4.102408,0.8720095,45,0.47012454,0.35480127,0.35666823,0.5053072,0.7794131,2.4368763,4.22102,4.4292216,0.8741262,0.71703684
46,0.5303919,0.5549642,2.9849427,2.5252628,0.6593489,46,0.8137748,0.55969614,0.71670586,0.59321386,4.8323846,3.1524737,4.6258106,2.7519772,0.2921247,0.67266256
47,0.8594239,0.22476435,3.6259952,4.5898085,0.5577175,47,0.25607818,0.5821616,0.030082285,0.19284509,1.2243848,3.9467304,3.5349562,4.340696,0.6622209,0.5256205
48,0.6040042,0.24610041,4.2679715,4.809553,0.7464099,48,0.74300796,0.6496935,0.063281655,0.17773548,5.253848,4.114984,2.7794027,4.2142577,0.0014828444,0.5724645
49,0.19060701,0.54406536,2.0270717,1.7205513,0.4513527,49,0.03785634,0.31509858,0.7490264,0.61512,4.743113,2.2067494,2.2060125,2.5204654,0.7557972,0.34147677
50,0.3310733,0.714652,2.1713586,2.6014974,0.45577687,0,0.13878542,0.36105713,0.88329256,0.66756415,5.831762,2.0194824,1.8568686,1.9978237,0.5295074,0.45372364
51,0.41410208,0.6784129,2.1100879,2.3087654,0.40152642,1,0.26005572,0.40845466,0.7431386,0.6549524,3.107646,2.2224991,1.7491965,2.3577704,0.6635418,0.56073797
52,0.469924,0.15223692,3.7761102,4.071481,0.58119273,2,0.5296115,0.54609925,0.017167449,0.17987183,1.7016066,3.674775,5.601427,4.4563437,0.124191284,0.58658904
53,0.49661034,0.7746493,1.5603142,2.7565367,0.2882015,3,0.15004581,0.3646536,0.9979424,0.71820855,5.94586,1.8551363,4.503372,1.731112,0.52882767,0.52842784
54,0.21095468,0.7658468,2.0814352,1.5102453,0.13215227,4,0.084929466,0.29055777,0.5460148,0.6886853,0.65899086,1.3102393,0.03281057,1.1378571,0.10381168,0.26469558
