,discount,learning rate,mf weight,mb weight,repetition,subject,true discount,inferred discount,true learning rate,inferred learning rate,true mf weight,inferred mf weight,true mb weight,inferred mb weight,true repetition,inferred repetition
0,0.7059512,0.70178354,1.0748053,2.6134217,0.22491664,0,0.13878542,0.35890886,0.88329256,0.70165527,5.831762,1.990209,1.8568686,2.002506,0.5295074,0.494646
1,0.46698216,0.7539033,1.7009907,3.661123,0.76360285,1,0.26005572,0.44222447,0.7431386,0.6861766,3.107646,2.1589775,1.7491965,2.6941922,0.6635418,0.5524816
2,0.5020633,0.20048638,5.191794,3.87176,0.6455626,2,0.5296115,0.46562007,0.017167449,0.14380936,1.7016066,3.4805572,5.601427,4.4995027,0.124191284,0.55755514
3,0.14368874,0.81334466,2.5162604,2.4255106,0.7676207,3,0.15004581,0.39038286,0.9979424,0.7491384,5.94586,1.7377431,4.503372,1.6182494,0.52882767,0.5573617
4,0.46751454,0.58663327,0.96863115,0.64615273,0.19093494,4,0.084929466,0.27047276,0.5460148,0.7106052,0.65899086,0.93535924,0.03281057,0.7965852,0.10381168,0.2635172
5,0.682277,0.29427508,2.9035618,2.0695615,0.61932415,5,0.8549662,0.6947712,0.34181893,0.34139758,5.1844835,3.5869029,0.20638204,1.6907231,0.19173956,0.63548255
6,0.829627,0.1492323,2.9966528,4.1051755,0.5514683,6,0.70680207,0.61714566,0.15999454,0.15994142,2.774045,3.9480908,4.8344707,4.0517387,0.7003887,0.569588
7,0.7929405,0.13811393,2.5589635,5.1803246,0.94003665,7,0.8329714,0.6587562,0.0056732297,0.12578908,5.492095,4.2412543,5.2749286,3.9889388,0.82918227,0.5829755
8,0.6832976,0.6505917,2.4031844,0.40778458,0.8937105,8,0.35026908,0.6432743,0.9785553,0.7450726,5.5152774,2.5001636,1.6357834,1.4823974,0.94860774,0.7643178
9,0.26999876,0.55043864,1.6345114,2.3936007,0.16923054,9,0.031076312,0.22802006,0.410042,0.55419385,2.8984823,1.8922238,2.167254,2.6795654,0.11547536,0.17892824
10,0.46202058,0.70788914,2.5592828,3.1818323,0.4933029,10,0.47680485,0.3460445,0.5882805,0.64314055,1.6778076,2.2446706,3.3217502,3.367051,0.09239733,0.39183503
